SYMBOL,INDEX,TYPE
NIFTY50,NIFTY 50,Broad Market
NIFTYNXT50,NIFTY Next 50,Broad Market
NIFTY100,NIFTY 100,Broad Market
NIFTY200,NIFTY 200,Broad Market
NIFTY500,NIFTY 500,Broad Market
NIFTYTOTALMKT,NIFTY Total Market,Broad Market
NIFTYLARGEMID250,NIFTY LargeMidcap 250,MARKET INDICES
NIFTYMIDCAP50,NIFTY Midcap 50,MARKET INDICES
NIFTYMIDCAP100,NIFTY Midcap 100,MARKET INDICES
NIFTYMIDCAP150,NIFTY Midcap 150,MARKET INDICES
NIFTYSMLCAP50,NIFTY Smallcap 50,MARKET INDICES
NIFTYSMLCAP100,NIFTY Smallcap 100,MARKET INDICES
NIFTYSMLCAP250,NIFTY Smallcap 250,MARKET INDICES
NIFTYMICROCAP250,NIFTY Microcap 250,MARKET INDICES
NIFTYBANK,NIFTY Bank,Sectoral
FINNIFTY,NIFTY Financial Services,Sectoral
NIFTYPVTBANK,NIFTY Private Bank,Sectoral
NIFTYPSUBANK,NIFTY PSU Bank,Sectoral
NIFTYIT,NIFTY IT,Sectoral
NIFTYPHARMA,NIFTY Pharma,Sectoral
NIFTYFMCG,NIFTY FMCG,Sectoral
NIFTYAUTO,NIFTY Auto,Sectoral
NIFTYREALTY,NIFTY Realty,Sectoral
NIFTYMETAL,NIFTY Metal,Sectoral
NIFTYMEDIA,NIFTY Media,Sectoral
NIFTYHEALTHCARE,NIFTY Healthcare Index,Sectoral
NIFTYCONSRDURBL,NIFTY Consumer Durables,Sectoral
NIFTYOILANDGAS,NIFTY Oil & Gas,Sectoral
NIFTYENERGY,NIFTY Energy,Sectoral
NIFTYINFRA,NIFTY Infrastructure,Sectoral
NIFTYCOMMODITIES,NIFTY Commodities,Sectoral
NIFTYSERVSECTOR,NIFTY Services Sector,Sectoral
NIFTYMNC,NIFTY MNC,Sectoral
