Date,Open,High,Low,Close,Volume
2011-07-25,8627.25,8644.95,8566.7,8600.75,0
2011-07-26,8640.1,8640.1,8484.05,8497.55,0
2011-07-27,8533.9,8539.5,8409.55,8426.1,0
2011-07-28,8355.7,8376.55,8266.3,8277.45,0
2011-07-29,8288.8,8316.75,8164.9,8192.15,0
2011-08-01,8253.45,8287.4,8174.0,8245.6,0
2011-08-02,8222.5,8305.2,8186.8,8292.5,0
2011-08-03,8206.65,8292.55,8194.45,8238.1,0
2011-08-04,8258.45,8295.05,8134.05,8150.95,0
2011-08-05,7994.85,8046.45,7910.35,7985.8,0
2011-08-08,7838.5,8039.0,7790.4,7917.2,0
2011-08-09,7707.5,7919.95,7707.5,7799.3,0
2011-08-10,7961.25,7961.25,7779.7,7831.05,0
2011-08-11,7777.55,7890.55,7769.15,7807.8,0
2011-08-12,7884.6,7884.6,7732.35,7750.95,0
2011-08-16,7757.4,7815.3,7657.4,7687.55,0
2011-08-17,7678.9,7817.6,7649.85,7674.9,0
2011-08-18,7719.35,7719.35,7540.1,7575.6,0
2011-08-19,7462.1,7573.5,7454.15,7515.7,0
2011-08-22,7503.05,7725.3,7461.4,7688.8,0
2011-08-23,7723.3,7727.15,7593.15,7669.05,0
2011-08-24,7657.55,7691.3,7590.85,7620.05,0
2011-08-25,7645.4,7684.65,7564.85,7583.45,0
2011-08-26,7565.55,7593.3,7301.9,7339.0,0
2011-08-29,7419.75,7598.4,7418.95,7569.7,0
2011-08-30,7632.95,7729.65,7573.65,7661.55,0
2011-09-02,7837.05,7842.45,7701.8,7770.95,0
2011-09-05,7705.0,7714.7,7592.45,7627.9,0
2011-09-06,7592.45,7809.35,7563.35,7792.75,0
2011-09-07,7817.35,7961.0,7817.35,7906.65,0
2011-09-08,7921.5,8019.25,7788.25,7983.45,0
2011-09-09,7992.7,8020.85,7796.0,7811.2,0
2011-09-12,7707.9,7772.5,7607.95,7675.55,0
2011-09-13,7726.5,7798.65,7621.8,7697.25,0
2011-09-14,7738.9,7810.05,7668.3,7788.95,0
2011-09-15,7857.5,7892.6,7719.9,7879.2,0
2011-09-16,8000.15,8015.1,7892.5,7911.8,0
2011-09-19,7898.65,7937.1,7839.3,7865.8,0
2011-09-20,7875.7,8037.4,7838.0,8026.2,0
2011-09-21,8035.25,8035.25,7915.4,7946.55,0
2011-09-22,7851.8,7874.55,7584.0,7609.2,0
2011-09-23,7532.35,7658.1,7488.65,7539.2,0
2011-09-26,7551.3,7551.3,7354.1,7419.45,0
2011-09-27,7532.75,7689.95,7520.4,7672.05,0
2011-09-28,7719.45,7734.9,7639.25,7698.75,0
2011-09-29,7660.4,7820.35,7601.15,7783.3,0
2011-09-30,7750.4,7808.05,7659.6,7735.75,0
2011-10-03,7622.25,7678.9,7579.15,7642.2,0
2011-10-04,7616.35,7652.25,7472.15,7523.85,0
2011-10-05,7531.05,7564.9,7471.0,7501.6,0
2011-10-07,7674.15,7721.5,7650.15,7707.25,0
2011-10-10,7708.1,7941.45,7708.1,7930.0,0
2011-10-11,7963.95,8000.1,7893.35,7910.55,0
2011-10-12,7928.55,8052.75,7902.25,8036.75,0
2011-10-13,8060.25,8074.35,7943.7,7965.1,0
2011-10-14,7935.05,8091.15,7935.05,8077.4,0
2011-10-17,8087.1,8088.85,7876.2,7894.7,0
2011-10-18,7825.6,7856.25,7772.35,7812.65,0
2011-10-19,7859.0,8006.25,7846.5,7986.6,0
2011-10-20,7913.25,7937.65,7811.65,7921.4,0
2011-10-21,7926.5,7966.85,7857.15,7884.75,0
2011-10-24,7992.0,8043.55,7985.55,8015.55,0
2011-10-25,8083.65,8229.65,7999.55,8207.35,0
2011-10-26,8233.4,8245.15,8192.35,8205.45,0
2011-10-28,8433.5,8481.15,8291.15,8392.3,0
2011-10-31,8395.45,8395.45,8213.8,8230.9,0
2011-11-01,8180.05,8250.0,8130.55,8147.35,0
2011-11-02,8100.95,8281.05,8100.95,8205.4,0
2011-11-03,8183.95,8330.3,8153.85,8310.6,0
2011-11-04,8433.65,8433.65,8235.2,8271.45,0
2011-11-08,8310.45,8330.75,8211.8,8297.7,0
2011-11-09,8345.15,8352.8,8105.05,8127.6,0
2011-11-11,8082.45,8213.7,8018.55,8197.8,0
2011-11-14,8246.15,8265.65,8093.15,8126.1,0
2011-11-15,8062.8,8099.2,7951.95,7984.2,0
2011-11-16,7955.75,7955.75,7804.75,7898.0,0
2011-11-17,7895.3,7904.9,7615.75,7640.95,0
2011-11-18,7584.05,7678.3,7462.75,7635.2,0
2011-11-21,7590.4,7590.4,7414.2,7429.65,0
2011-11-22,7453.35,7537.45,7432.45,7476.7,0
2011-11-23,7436.2,7436.2,7195.2,7308.2,0
2011-11-24,7323.85,7401.75,7228.1,7373.9,0
2011-11-25,7357.2,7370.1,7243.6,7265.4,0
2011-11-28,7356.25,7506.35,7346.7,7493.15,0
2011-11-29,7498.5,7498.5,7332.5,7361.95,0
2011-11-30,7303.95,7524.55,7281.3,7485.3,0
2011-12-01,7660.75,7706.8,7599.0,7622.7,0
2011-12-02,7618.3,7804.2,7547.75,7778.2,0
2011-12-05,7748.2,7781.85,7698.5,7766.25,0
2011-12-07,7763.8,7873.55,7727.5,7778.9,0
2011-12-08,7726.25,7763.2,7511.1,7552.05,0
2011-12-09,7460.65,7480.6,7383.3,7400.55,0
2011-12-12,7446.6,7448.0,7160.8,7185.8,0
2011-12-13,7145.15,7308.6,7129.35,7285.45,0
2011-12-14,7256.7,7334.1,7177.75,7196.55,0
2011-12-15,7107.25,7291.75,7068.05,7261.65,0
2011-12-16,7269.6,7399.5,7048.25,7090.1,0
2011-12-19,7059.5,7162.95,7002.35,7139.65,0
2011-12-20,7197.4,7197.4,6962.65,6995.9,0
2011-12-21,7118.15,7313.65,7078.3,7277.65,0
2011-12-22,7216.3,7393.7,7194.3,7361.65,0
2011-12-23,7408.25,7423.95,7252.75,7282.25,0
2011-12-26,7286.75,7387.45,7281.95,7371.95,0
2011-12-27,7406.35,7427.35,7263.2,7316.4,0
2011-12-28,7361.85,7361.85,7220.45,7252.45,0
2011-12-29,7227.25,7249.55,7041.55,7057.5,0
2011-12-30,7068.15,7119.5,6942.45,6968.1,0
2012-01-02,6996.15,7054.25,6937.8,7037.05,0
2012-01-03,7093.1,7213.65,7086.25,7197.1,0
2012-01-04,7216.0,7224.05,7145.45,7165.75,0
2012-01-05,7174.9,7212.8,7019.35,7054.4,0
2012-01-06,7021.05,7173.55,7017.3,7114.6,0
2012-01-07,7117.05,7129.15,7102.1,7107.8,0
2012-01-09,7122.8,7122.8,7038.6,7074.75,0
2012-01-10,7135.15,7286.25,7126.1,7263.45,0
2012-01-11,7286.75,7343.75,7230.6,7315.25,0
2012-01-12,7331.95,7361.5,7240.0,7275.05,0
2012-01-13,7324.55,7397.2,7272.7,7293.05,0
2012-01-16,7274.4,7274.4,7155.2,7165.75,0
2012-01-17,7196.3,7378.55,7196.3,7369.2,0
2012-01-18,7478.65,7587.25,7461.85,7558.8,0
2012-01-19,7633.6,7685.75,7603.45,7672.8,0
2012-01-20,7694.7,7794.45,7611.9,7752.35,0
2012-01-23,7573.0,7686.0,7573.0,7644.7,0
2012-01-24,7661.1,7759.1,7641.4,7721.15,0
2012-01-25,7763.15,7783.15,7723.8,7745.5,0
2012-01-27,7847.85,7969.5,7804.35,7931.45,0
2012-01-30,7871.1,7919.85,7736.45,7750.15,0
2012-01-31,7814.05,7917.95,7806.75,7890.05,0
2012-02-01,7893.0,7979.85,7850.35,7959.75,0
2012-02-02,8007.45,8056.6,7959.65,7993.4,0
2012-02-03,8010.7,8114.2,7950.6,8098.75,0
2012-02-06,8163.25,8168.4,8009.8,8078.9,0
2012-02-07,8125.55,8190.2,8086.15,8120.75,0
2012-02-08,8136.6,8249.95,8134.2,8217.5,0
2012-02-09,8197.2,8273.4,8153.95,8240.5,0
2012-02-10,8237.4,8304.85,8137.5,8170.05,0
2012-02-13,8166.7,8250.8,8166.3,8194.8,0
