Date,Open,High,Low,Close,Volume
2022-07-18,9114.7,9182.7,9110.8,9176.05,0
2022-07-19,9143.0,9238.85,9141.65,9228.6,0
2022-07-20,9327.95,9328.05,9262.45,9278.3,0
2022-07-21,9285.4,9379.05,9267.6,9368.9,0
2022-07-22,9406.75,9423.0,9364.15,9401.7,0
2022-07-25,9390.8,9406.35,9343.2,9376.8,0
2022-07-26,9381.8,9382.55,9271.0,9282.5,0
2022-07-27,9275.4,9373.1,9256.5,9365.7,0
2022-07-28,9429.85,9484.6,9396.6,9477.35,0
2022-07-29,9551.35,9616.0,9535.75,9607.3,0
2022-08-01,9657.8,9741.1,9609.45,9734.85,0
2022-08-02,9728.6,9780.35,9681.55,9762.9,0
2022-08-03,9763.1,9776.65,9664.55,9744.6,0
2022-08-04,9788.8,9814.2,9626.05,9772.95,0
2022-08-05,9800.15,9825.6,9768.4,9789.15,0
2022-08-08,9796.6,9856.4,9763.75,9837.1,0
2022-08-10,9866.55,9869.75,9789.05,9826.75,0
2022-08-11,9911.95,9918.4,9884.95,9901.75,0
2022-08-12,9911.85,9958.85,9889.85,9945.65,0
2022-08-16,9998.4,10059.2,9985.7,10054.8,0
2022-08-17,10087.7,10123.7,10079.8,10111.0,0
2022-08-18,10101.9,10139.5,10082.8,10127.1,0
2022-08-19,10147.8,10160.2,9990.4,10010.2,0
2022-08-22,9977.55,9978.7,9826.25,9842.45,0
2022-08-23,9764.3,9935.2,9760.95,9912.95,0
2022-08-24,9898.9,9963.75,9886.4,9956.4,0
2022-08-25,10004.5,10030.9,9925.65,9941.8,0
2022-08-26,9998.35,10033.3,9954.6,9973.75,0
2022-08-29,9730.9,9887.85,9729.0,9869.45,0
2022-08-30,9937.75,10101.3,9934.85,10092.6,0
2022-09-01,9996.0,10101.0,9994.25,10053.5,0
2022-09-02,10097.3,10118.4,10027.5,10037.8,0
2022-09-05,10056.4,10109.2,10054.4,10094.8,0
2022-09-06,10130.2,10155.0,10074.5,10116.5,0
2022-09-07,10069.5,10145.6,10057.6,10137.6,0
2022-09-08,10209.8,10221.8,10160.8,10200.0,0
2022-09-09,10267.8,10282.4,10202.5,10228.9,0
2022-09-12,10268.8,10316.5,10264.4,10304.8,0
2022-09-13,10361.2,10373.0,10340.5,10349.3,0
2022-09-14,10199.7,10348.8,10198.8,10318.0,0
2022-09-15,10359.8,10388.2,10275.5,10310.3,0
2022-09-16,10288.0,10298.5,10032.8,10073.0,0
2022-09-19,10087.7,10130.4,9990.65,10098.4,0
2022-09-20,10181.2,10283.8,10174.8,10227.8,0
2022-09-21,10222.0,10272.5,10131.2,10155.8,0
2022-09-22,10112.4,10185.5,10065.7,10156.0,0
2022-09-23,10155.2,10176.3,9946.75,9960.25,0
2022-09-26,9870.2,9877.15,9667.05,9715.05,0
2022-09-27,9766.15,9810.0,9655.7,9716.2,0
2022-09-28,9648.8,9753.15,9626.05,9662.65,0
2022-09-29,9750.25,9776.2,9633.7,9669.45,0
2022-09-30,9659.45,9837.15,9596.9,9815.5,0
2022-10-03,9820.25,9836.9,9658.3,9694.9,0
2022-10-04,9840.45,9923.55,9824.5,9916.9,0
2022-10-06,9983.9,10033.2,9980.2,9996.35,0
2022-10-07,9990.35,10002.9,9914.95,9977.55,0
2022-10-10,9862.55,9932.7,9831.0,9907.5,0
2022-10-11,9929.9,9931.3,9733.1,9752.65,0
2022-10-12,9780.3,9829.9,9711.45,9818.85,0
2022-10-13,9812.55,9826.55,9721.6,9754.15,0
2022-10-14,9905.5,9916.85,9779.15,9787.2,0
2022-10-17,9764.15,9840.05,9709.9,9831.45,0
2022-10-18,9899.25,9938.15,9889.8,9931.2,0
2022-10-19,9968.45,9988.3,9920.7,9939.75,0
2022-10-20,9893.45,9956.75,9863.15,9946.8,0
2022-10-21,9974.65,9994.1,9884.9,9911.95,0
2022-10-24,10010.8,10016.8,9967.9,9979.55,0
2022-10-25,10006.3,10007.3,9945.55,9968.4,0
2022-10-27,10017.1,10044.4,9981.75,10027.7,0
2022-10-28,10043.1,10052.5,9973.85,10003.3,0
2022-10-31,10057.8,10135.8,10055.6,10131.2,0
2022-11-01,10178.2,10220.0,10158.8,10212.6,0
2022-11-02,10224.0,10232.8,10176.2,10194.6,0
2022-11-03,10140.5,10211.2,10137.1,10195.7,0
2022-11-04,10205.6,10231.1,10169.7,10210.8,0
2022-11-07,10263.0,10289.2,10208.3,10272.9,0
2022-11-09,10317.7,10318.6,10211.0,10229.0,0
2022-11-10,10188.2,10199.5,10106.4,10143.7,0
2022-11-11,10264.3,10283.0,10218.5,10236.5,0
2022-11-14,10245.5,10259.7,10212.3,10233.0,0
2022-11-15,10247.3,10258.1,10206.2,10249.5,0
2022-11-16,10255.3,10269.2,10178.5,10213.5,0
2022-11-17,10196.7,10210.2,10156.5,10169.3,0
2022-11-18,10195.0,10202.8,10082.2,10135.6,0
2022-11-21,10119.2,10123.5,10075.8,10093.8,0
2022-11-22,10109.2,10138.6,10090.8,10132.5,0
2022-11-23,10170.4,10175.6,10139.5,10151.5,0
2022-11-24,10185.6,10237.7,10171.2,10225.8,0
2022-11-25,10250.6,10285.3,10230.9,10277.5,0
2022-11-28,10260.8,10337.2,10242.5,10324.9,0
2022-11-29,10325.5,10351.5,10312.8,10324.0,0
2022-11-30,10334.2,10443.9,10332.4,10415.9,0
2022-12-01,10475.5,10489.8,10442.8,10469.7,0
2022-12-02,10462.3,10489.3,10443.0,10485.1,0
2022-12-05,10510.6,10512.2,10435.3,10488.2,0
2022-12-06,10455.5,10473.2,10426.3,10450.2,0
2022-12-07,10460.0,10470.3,10390.8,10405.7,0
2022-12-08,10423.8,10449.6,10406.6,10443.8,0
2022-12-09,10484.1,10487.8,10323.6,10388.2,0
2022-12-12,10366.7,10411.0,10307.0,10405.0,0
2022-12-13,10430.8,10458.0,10404.3,10452.2,0
2022-12-14,10487.5,10513.1,10479.8,10501.3,0
2022-12-15,10490.8,10511.4,10370.5,10388.8,0
2022-12-16,10343.2,10389.2,10255.5,10269.8,0
2022-12-19,10285.0,10344.0,10237.7,10338.5,0
2022-12-20,10310.5,10328.4,10226.4,10320.2,0
2022-12-21,10352.6,10381.2,10161.0,10181.1,0
2022-12-22,10227.1,10253.0,10059.7,10110.8,0
2022-12-23,10021.8,10049.5,9808.55,9826.35,0
2022-12-26,9833.55,10043.8,9772.7,10014.8,0
2022-12-27,10069.5,10111.8,10009.2,10097.0,0
2022-12-28,10085.5,10137.2,10055.5,10115.2,0
2022-12-29,10077.0,10160.7,10025.3,10142.8,0
2022-12-30,10195.7,10217.7,10126.7,10143.5,0
2023-01-02,10168.3,10208.2,10134.7,10200.7,0
2023-01-03,10205.2,10234.8,10187.7,10222.7,0
2023-01-04,10230.7,10240.3,10105.2,10120.5,0
2023-01-05,10154.5,10163.6,10065.6,10133.7,0
2023-01-06,10145.3,10149.0,10026.0,10060.8,0
2023-01-09,10123.7,10176.5,10109.2,10167.8,0
2023-01-10,10181.3,10181.5,10053.3,10100.3,0
2023-01-11,10115.4,10130.7,10057.5,10077.2,0
2023-01-12,10100.5,10104.1,10013.7,10058.7,0
2023-01-13,10073.4,10098.1,10010.8,10083.2,0
2023-01-16,10113.3,10133.8,10040.7,10055.9,0
2023-01-17,10072.5,10101.6,10026.7,10092.3,0
2023-01-18,10109.0,10144.9,10081.3,10139.0,0
2023-01-19,10114.2,10134.8,10088.7,10116.8,0
2023-01-20,10120.8,10127.0,10052.3,10060.2,0
2023-01-23,10091.7,10099.7,10058.2,10091.8,0
2023-01-24,10117.7,10123.0,10059.0,10073.0,0
2023-01-25,10058.8,10060.5,9914.65,9935.2,0
2023-01-27,9936.35,9941.55,9692.75,9768.65,0
2023-01-30,9736.75,9826.9,9655.05,9754.95,0
2023-01-31,9787.3,9854.25,9715.85,9837.8,0
2023-02-01,9915.7,9981.25,9620.95,9771.9,0
2023-02-02,9723.2,9811.05,9685.35,9773.5,0
2023-02-03,9809.75,9831.35,9682.25,9822.2,0
2023-02-06,9812.0,9852.25,9783.75,9843.4,0
2023-02-07,9855.35,9868.2,9789.4,9831.3,0
2023-02-08,9849.95,9926.4,9843.1,9914.7,0
2023-02-09,9925.45,9936.45,9877.3,9920.15,0
2023-02-10,9897.75,9930.25,9881.05,9921.9,0
2023-02-13,9915.0,9922.15,9816.05,9825.65,0
2023-02-14,9842.35,9854.05,9789.05,9839.35,0
2023-02-15,9822.55,9895.2,9815.55,9886.45,0
