Date,Open,High,Low,Close,Volume
2022-07-18,9702.55,9775.0,9701.35,9768.7,0
2022-07-19,9771.95,9871.8,9763.3,9863.8,0
2022-07-20,9956.65,9971.55,9869.75,9882.75,0
2022-07-21,9904.5,9964.6,9870.85,9952.4,0
2022-07-22,9994.05,10023.9,9951.15,9966.25,0
2022-07-25,9982.2,9989.8,9890.0,9932.25,0
2022-07-26,9947.5,9955.25,9799.95,9811.9,0
2022-07-27,9825.55,9867.6,9777.45,9858.05,0
2022-07-28,9915.75,9953.1,9880.7,9892.05,0
2022-07-29,9957.7,10003.2,9945.2,9978.15,0
2022-08-01,10048.5,10140.6,10004.7,10132.0,0
2022-08-02,10157.2,10236.8,10126.7,10198.3,0
2022-08-03,10251.1,10264.2,10101.8,10153.0,0
2022-08-04,10222.0,10263.0,10014.3,10136.3,0
2022-08-05,10179.5,10227.4,10144.4,10157.0,0
2022-08-08,10200.2,10216.3,10160.9,10189.2,0
2022-08-10,10219.5,10234.3,10145.8,10183.3,0
2022-08-11,10268.9,10293.5,10164.2,10177.1,0
2022-08-12,10210.4,10251.3,10187.5,10218.9,0
2022-08-16,10256.2,10293.3,10253.1,10283.3,0
2022-08-17,10329.8,10390.4,10329.0,10369.2,0
2022-08-18,10392.8,10467.9,10380.7,10429.0,0
2022-08-19,10466.2,10518.1,10325.7,10379.6,0
2022-08-22,10378.6,10379.8,10262.2,10269.0,0
2022-08-23,10226.9,10395.5,10219.4,10379.3,0
2022-08-24,10413.0,10510.2,10411.5,10479.5,0
2022-08-25,10548.0,10607.8,10498.5,10514.8,0
2022-08-26,10583.7,10635.2,10567.8,10587.7,0
2022-08-29,10344.1,10565.3,10327.3,10539.4,0
2022-08-30,10630.5,10703.5,10630.2,10688.2,0
2022-09-01,10670.8,10854.5,10660.2,10837.5,0
2022-09-02,10916.3,10949.0,10836.5,10851.3,0
2022-09-05,10914.1,11031.8,10913.0,10995.1,0
2022-09-06,11083.0,11104.9,10919.2,10964.8,0
2022-09-07,10926.5,11075.7,10918.4,11063.1,0
2022-09-08,11167.8,11193.1,11118.7,11135.0,0
2022-09-09,11219.0,11225.5,11067.3,11089.5,0
2022-09-12,11156.3,11242.0,11151.2,11204.5,0
2022-09-13,11278.0,11304.4,11234.3,11247.2,0
2022-09-14,11081.0,11281.5,11074.0,11262.2,0
2022-09-15,11339.8,11394.5,11262.5,11309.0,0
2022-09-16,11310.0,11345.8,10979.6,11062.5,0
2022-09-19,11124.3,11161.4,10953.4,11101.2,0
2022-09-20,11203.7,11252.0,11141.2,11153.5,0
2022-09-21,11185.8,11234.7,11026.7,11048.7,0
2022-09-22,11033.0,11159.4,11018.3,11115.2,0
2022-09-23,11155.2,11175.6,10885.7,10893.2,0
2022-09-26,10806.9,10808.5,10389.6,10478.3,0
2022-09-27,10538.0,10628.8,10421.5,10532.4,0
2022-09-28,10458.7,10594.0,10421.7,10450.6,0
2022-09-29,10584.0,10628.1,10409.9,10511.0,0
2022-09-30,10511.2,10684.8,10457.7,10670.7,0
2022-10-03,10676.8,10744.0,10573.9,10593.5,0
2022-10-04,10735.8,10808.0,10735.3,10799.8,0
2022-10-06,10892.5,10996.3,10881.0,10983.0,0
2022-10-07,11010.0,11085.8,10978.0,11078.1,0
2022-10-10,11000.1,11088.3,10952.0,11053.2,0
2022-10-11,11105.5,11126.0,10859.5,10887.2,0
2022-10-12,10925.8,10952.3,10734.4,10843.0,0
2022-10-13,10863.4,10891.5,10762.8,10816.3,0
2022-10-14,10963.3,11001.2,10791.3,10807.2,0
2022-10-17,10804.3,10828.9,10704.7,10802.8,0
2022-10-18,10882.1,10936.3,10881.0,10904.8,0
2022-10-19,10954.0,10985.2,10893.6,10907.7,0
2022-10-20,10894.3,10909.5,10844.3,10897.8,0
2022-10-21,10955.1,10971.5,10751.6,10771.2,0
2022-10-24,10880.1,10923.9,10877.8,10907.3,0
2022-10-25,10921.6,10934.3,10839.8,10894.8,0
