Date,Open,High,Low,Close,Volume
2019-06-20,6165.85,6259.8,6128.2,6250.55,0
2019-06-21,6250.3,6261.8,6211.55,6252.65,0
2019-06-24,6254.85,6260.0,6226.65,6236.25,0
2019-06-25,6228.95,6279.55,6218.7,6275.95,0
2019-06-26,6266.1,6329.65,6261.1,6323.85,0
2019-06-27,6333.15,6363.6,6329.65,6355.3,0
2019-06-28,6361.05,6363.1,6328.95,6346.55,0
2019-07-01,6364.35,6378.4,6347.7,6360.05,0
2019-07-02,6378.2,6383.25,6334.0,6378.9,0
2019-07-03,6387.55,6397.4,6371.25,6388.45,0
2019-07-04,6398.15,6411.6,6373.95,6379.35,0
2019-07-05,6394.0,6394.85,6270.9,6283.45,0
2019-07-08,6252.95,6258.95,6108.55,6130.45,0
2019-07-09,6116.15,6155.7,6088.75,6148.7,0
2019-07-10,6155.05,6177.35,6088.7,6095.25,0
2019-07-11,6118.65,6142.85,6097.65,6138.3,0
2019-07-12,6145.4,6187.95,6138.75,6161.8,0
2019-07-15,6173.2,6176.8,6097.85,6118.3,0
2019-07-16,6121.1,6160.05,6108.65,6158.15,0
2019-07-17,6162.2,6176.25,6127.75,6142.8,0
2019-07-18,6136.35,6138.1,6048.1,6054.8,0
2019-07-19,6075.75,6085.75,5930.85,5942.95,0
2019-07-22,5927.75,5931.1,5854.75,5904.9,0
2019-07-23,5911.55,5922.35,5862.7,5883.9,0
2019-07-24,5883.85,5899.8,5794.45,5803.5,0
2019-07-25,5803.9,5844.95,5803.0,5830.5,0
2019-07-26,5828.85,5866.25,5807.1,5857.9,0
2019-07-29,5859.65,5866.3,5796.3,5807.8,0
2019-07-30,5812.95,5840.0,5704.85,5713.15,0
2019-07-31,5686.85,5778.85,5645.65,5772.9,0
2019-08-01,5755.8,5786.6,5678.85,5720.85,0
2019-08-02,5683.7,5750.7,5634.75,5713.2,0
2019-08-05,5672.6,5672.6,5578.4,5634.05,0
2019-08-06,5608.25,5741.0,5608.1,5733.3,0
2019-08-07,5741.2,5782.0,5697.6,5707.35,0
2019-08-08,5719.8,5753.0,5681.6,5742.95,0
2019-08-09,5768.6,5829.4,5768.15,5798.2,0
2019-08-13,5807.85,5809.05,5685.15,5692.85,0
2019-08-14,5719.35,5747.95,5683.7,5740.6,0
2019-08-16,5720.4,5762.45,5682.65,5757.2,0
2019-08-19,5771.8,5798.55,5760.3,5774.5,0
2019-08-20,5778.05,5779.1,5708.15,5732.8,0
2019-08-21,5729.35,5731.45,5643.4,5655.1,0
2019-08-22,5642.35,5644.35,5547.7,5558.95,0
2019-08-23,5540.7,5619.3,5492.95,5607.9,0
2019-08-26,5699.35,5705.9,5574.5,5682.95,0
2019-08-27,5707.35,5747.25,5699.05,5731.65,0
2019-08-28,5739.65,5760.75,5665.7,5682.7,0
2019-08-29,5678.3,5683.55,5621.05,5659.8,0
2019-08-30,5676.1,5719.25,5648.9,5712.7,0
2019-09-03,5683.1,5694.6,5618.05,5626.85,0
2019-09-04,5626.85,5651.15,5589.4,5646.5,0
2019-09-05,5656.95,5680.05,5649.4,5659.95,0
2019-09-06,5673.2,5703.25,5660.1,5696.7,0
2019-09-09,5702.45,5761.35,5686.6,5758.0,0
2019-09-11,5766.0,5809.95,5765.95,5803.45,0
2019-09-12,5821.55,5838.15,5782.85,5787.5,0
2019-09-13,5805.4,5821.05,5753.85,5817.6,0
2019-09-16,5802.0,5839.1,5789.2,5812.4,0
2019-09-17,5820.8,5836.9,5696.65,5707.4,0
2019-09-18,5730.95,5752.5,5691.7,5726.75,0
2019-09-19,5737.1,5738.1,5626.5,5641.15,0
2019-09-20,5658.95,5965.9,5612.6,5959.15,0
2019-09-23,6038.0,6159.8,6036.05,6121.55,0
2019-09-24,6141.3,6157.2,6065.7,6090.7,0
2019-09-25,6083.3,6084.75,5981.25,5993.95,0
2019-09-26,6001.8,6053.4,5999.45,6041.65,0
2019-09-27,6043.8,6052.25,5979.8,5989.75,0
2019-09-30,5995.2,5996.0,5869.75,5912.2,0
2019-10-01,5922.25,5938.95,5744.35,5815.55,0
2019-10-03,5799.4,5841.9,5768.6,5810.65,0
2019-10-04,5835.15,5848.0,5753.2,5764.15,0
2019-10-07,5768.45,5773.6,5710.4,5748.2,0
2019-10-09,5755.2,5815.95,5723.0,5813.65,0
2019-10-10,5804.65,5816.6,5753.5,5758.8,0
2019-10-11,5772.8,5805.8,5734.35,5771.1,0
2019-10-14,5791.15,5821.65,5777.35,5786.7,0
2019-10-15,5796.35,5814.75,5774.7,5803.55,0
2019-10-16,5818.3,5834.2,5783.4,5793.3,0
2019-10-17,5800.3,5894.45,5790.35,5888.7,0
2019-10-18,5896.4,6001.05,5889.5,5991.95,0
2019-10-22,5994.0,6033.75,5986.7,5999.0,0
2019-10-23,6007.05,6034.0,5975.45,6006.55,0
2019-10-24,6026.35,6039.2,5972.6,5994.15,0
2019-10-25,6007.7,6014.4,5966.15,5985.4,0
2019-10-27,6019.85,6043.75,6017.9,6033.0,0
2019-10-29,6043.0,6113.15,6028.7,6093.5,0
2019-10-30,6121.2,6134.3,6097.25,6122.35,0
2019-10-31,6147.6,6212.7,6146.65,6201.65,0
2019-11-01,6215.4,6252.55,6211.35,6222.5,0
2019-11-04,6250.15,6274.0,6211.3,6216.3,0
2019-11-05,6234.45,6237.4,6148.25,6158.45,0
2019-11-06,6165.65,6175.6,6136.8,6150.6,0
2019-11-07,6189.75,6197.45,6167.5,6191.5,0
2019-11-08,6197.35,6216.35,6147.8,6153.5,0
2019-11-11,6154.75,6191.75,6149.7,6186.45,0
2019-11-13,6194.75,6206.25,6127.0,6137.8,0
2019-11-14,6146.95,6162.25,6109.35,6153.0,0
