Date,Open,High,Low,Close,Volume
2011-07-25,5079.35,5099.15,5064.2,5094.15,0
2011-07-26,5101.3,5110.4,5034.65,5049.7,0
2011-07-27,5064.75,5071.9,5024.65,5053.85,0
2011-07-28,5034.65,5062.25,5004.65,5035.4,0
2011-07-29,5057.65,5074.75,5002.8,5007.5,0
2011-08-01,5019.15,5053.5,4989.55,5003.9,0
2011-08-02,4997.1,5019.3,4981.05,5003.55,0
2011-08-03,4966.6,4989.8,4937.25,4985.3,0
2011-08-04,4980.75,5010.65,4915.75,4928.05,0
2011-08-05,4856.3,4856.3,4773.1,4831.3,0
2011-08-08,4762.95,4819.4,4698.05,4777.55,0
2011-08-09,4710.55,4791.4,4665.65,4752.7,0
2011-08-10,4779.85,4808.15,4754.55,4787.05,0
2011-08-11,4776.4,4796.65,4760.6,4772.2,0
2011-08-12,4793.8,4796.45,4741.1,4756.3,0
2011-08-16,4761.35,4780.4,4673.4,4688.5,0
2011-08-17,4681.65,4742.35,4666.2,4702.55,0
2011-08-18,4722.55,4733.95,4650.45,4659.5,0
2011-08-19,4609.8,4632.5,4577.5,4620.5,0
2011-08-22,4610.75,4656.2,4577.9,4644.25,0
2011-08-23,4663.3,4678.95,4625.05,4657.8,0
2011-08-24,4649.9,4692.15,4618.65,4628.1,0
2011-08-25,4640.75,4663.1,4604.25,4615.7,0
2011-08-26,4616.95,4630.65,4495.5,4537.75,0
2011-08-29,4539.35,4594.0,4539.35,4588.0,0
2011-08-30,4597.45,4679.75,4595.7,4667.8,0
2011-09-02,4708.0,4708.0,4649.45,4691.85,0
2011-09-05,4684.65,4686.75,4644.65,4682.8,0
2011-09-06,4673.75,4688.8,4645.4,4682.9,0
2011-09-07,4687.7,4754.2,4687.7,4729.75,0
2011-09-08,4745.1,4780.3,4729.65,4770.9,0
2011-09-09,4778.25,4828.55,4743.3,4750.15,0
2011-09-12,4711.5,4747.3,4689.45,4723.25,0
2011-09-13,4735.4,4787.8,4699.75,4734.45,0
2011-09-14,4755.95,4792.0,4700.05,4780.8,0
2011-09-15,4791.15,4796.5,4748.65,4785.0,0
2011-09-16,4781.6,4804.25,4743.4,4752.1,0
2011-09-19,4744.95,4757.05,4724.5,4750.9,0
2011-09-20,4751.15,4821.05,4719.75,4813.25,0
2011-09-21,4806.1,4820.0,4764.2,4785.35,0
2011-09-22,4745.65,4745.65,4650.2,4660.55,0
2011-09-23,4629.7,4665.65,4582.4,4628.35,0
2011-09-26,4632.85,4632.85,4517.05,4571.7,0
2011-09-27,4596.25,4668.9,4596.25,4659.65,0
2011-09-28,4683.7,4683.7,4606.7,4625.6,0
2011-09-29,4606.7,4688.4,4580.15,4668.65,0
2011-09-30,4650.35,4674.3,4633.05,4650.4,0
2011-10-03,4630.2,4630.2,4583.15,4590.95,0
2011-10-04,4580.7,4629.9,4544.35,4569.5,0
2011-10-05,4570.5,4611.0,4525.1,4535.1,0
2011-10-07,4602.35,4634.75,4581.3,4610.5,0
2011-10-10,4596.1,4646.0,4578.25,4635.35,0
2011-10-11,4667.0,4689.5,4604.4,4617.25,0
2011-10-12,4628.35,4702.2,4628.35,4694.2,0
2011-10-13,4695.05,4708.05,4641.7,4655.3,0
2011-10-14,4634.3,4672.55,4617.8,4662.55,0
2011-10-17,4680.55,4709.55,4666.9,4702.8,0
2011-10-18,4652.8,4674.7,4625.8,4651.75,0
