Date,Open,High,Low,Close,Volume
2011-07-25,11278.5,11343.0,11247.7,11333.5,0
2011-07-26,11347.5,11387.5,11194.3,11223.8,0
2011-07-27,11250.8,11275.4,11166.1,11228.7,0
2011-07-28,11174.4,11176.0,11098.7,11117.8,0
2011-07-29,11103.5,11145.7,10862.1,10910.2,0
2011-08-01,10972.2,11038.6,10851.5,10883.2,0
2011-08-02,10876.4,10876.4,10745.8,10796.2,0
2011-08-03,10735.5,10758.3,10621.4,10740.3,0
2011-08-04,10763.8,10882.2,10682.0,10699.5,0
2011-08-05,10457.8,10554.3,10322.0,10542.0,0
2011-08-08,10517.2,10523.7,10245.7,10415.3,0
2011-08-09,10395.9,10423.5,10145.8,10279.5,0
2011-08-10,10300.5,10501.0,10300.5,10486.2,0
2011-08-11,10483.7,10541.0,10424.4,10434.0,0
2011-08-12,10442.0,10531.6,10333.8,10343.1,0
2011-08-16,10353.3,10434.0,10203.3,10232.0,0
2011-08-17,10237.0,10289.0,10137.8,10159.7,0
2011-08-18,10167.3,10204.9,9907.4,9940.8,0
2011-08-19,9929.85,9929.85,9717.75,9864.05,0
2011-08-22,9867.3,9982.85,9788.6,9964.3,0
2011-08-23,9964.45,10045.7,9884.95,10029.4,0
2011-08-24,10018.8,10118.3,9899.75,9939.45,0
2011-08-25,9939.85,9986.8,9786.55,9815.35,0
2011-08-26,9820.1,9861.25,9572.55,9597.8,0
2011-08-29,9606.35,9893.4,9606.35,9872.05,0
2011-08-30,9882.7,10007.3,9882.7,9989.0,0
2011-09-02,10004.6,10156.8,10004.6,10113.4,0
2011-09-05,10103.0,10170.5,10009.6,10149.2,0
2011-09-06,10146.5,10164.7,10027.0,10152.2,0
2011-09-07,10155.9,10352.3,10155.9,10333.1,0
2011-09-08,10333.2,10390.0,10293.2,10336.7,0
2011-09-09,10342.5,10417.2,10188.3,10199.5,0
2011-09-12,10196.0,10196.0,9925.2,9948.2,0
2011-09-13,9952.4,10126.5,9894.0,9931.9,0
2011-09-14,9936.0,10017.9,9907.2,9995.0,0
2011-09-15,10002.9,10162.4,10002.9,10147.7,0
2011-09-16,10154.0,10220.0,10123.0,10167.2,0
2011-09-19,10162.9,10170.4,10102.2,10113.2,0
2011-09-20,10115.0,10226.1,10084.7,10216.4,0
2011-09-21,10225.0,10322.2,10225.0,10311.1,0
2011-09-22,10301.6,10301.6,9955.55,9966.65,0
2011-09-23,9960.0,10001.8,9804.2,9895.95,0
2011-09-26,9894.7,9918.05,9637.2,9748.35,0
2011-09-27,9763.95,9953.85,9763.95,9935.55,0
2011-09-28,9943.25,9989.55,9861.2,9885.2,0
2011-09-29,9882.8,9939.5,9788.2,9916.35,0
2011-09-30,9918.65,9966.15,9781.45,9822.2,0
2011-10-03,9815.45,9815.45,9600.0,9613.8,0
2011-10-04,9607.95,9694.95,9415.3,9435.25,0
2011-10-05,9439.45,9515.35,9355.8,9371.9,0
2011-10-07,9391.5,9609.65,9391.5,9518.9,0
2011-10-10,9519.45,9640.5,9489.6,9631.25,0
2011-10-11,9632.75,9762.7,9632.75,9703.0,0
2011-10-12,9703.55,9877.5,9703.55,9869.2,0
2011-10-13,9869.85,9960.35,9867.9,9893.65,0
2011-10-14,9891.95,9913.55,9832.35,9895.0,0
2011-10-17,9895.9,9966.8,9873.8,9903.75,0
2011-10-18,9902.1,9902.1,9752.3,9780.65,0
2011-10-19,9782.75,9897.25,9782.75,9870.2,0
2011-10-20,9868.65,9868.65,9727.35,9782.45,0
2011-10-21,9782.9,9837.35,9667.65,9682.65,0
2011-10-24,9684.4,9803.75,9645.6,9660.45,0
2011-10-25,9660.55,9723.65,9607.7,9699.35,0
2011-10-26,9700.25,9785.25,9700.25,9768.8,0
2011-10-28,9772.85,10007.2,9772.85,9997.8,0
2011-10-31,9996.7,10078.6,9937.55,10047.2,0
2011-11-01,10044.7,10075.3,9945.2,9993.7,0
2011-11-02,9991.5,10046.3,9925.45,10003.8,0
2011-11-03,10004.0,10096.4,9977.05,10077.0,0
2011-11-04,10078.7,10216.5,10078.7,10178.7,0
2011-11-08,10179.7,10215.3,10095.7,10138.2,0
2011-11-09,10139.2,10175.5,9982.55,9995.8,0
