Date,Open,High,Low,Close,Volume
2022-07-18,7515.2,7570.45,7488.25,7553.75,0
2022-07-19,7523.95,7597.35,7508.65,7544.2,0
2022-07-20,7742.65,7752.45,7587.35,7621.35,0
2022-07-21,7623.7,7710.5,7600.25,7696.4,0
2022-07-22,7728.15,7734.55,7652.45,7684.5,0
2022-07-25,7650.4,7651.95,7527.15,7579.8,0
2022-07-26,7595.85,7603.15,7534.9,7551.6,0
2022-07-27,7557.85,7627.65,7538.25,7616.95,0
2022-07-28,7658.75,7684.15,7611.65,7674.6,0
2022-07-29,7723.15,7857.4,7705.65,7841.7,0
2022-08-01,7864.35,8022.2,7820.55,8007.7,0
2022-08-02,7990.2,8043.05,7969.7,8009.05,0
2022-08-03,8024.7,8051.3,7804.95,8011.6,0
2022-08-04,8020.2,8052.55,7878.8,8005.75,0
2022-08-05,8021.05,8037.85,7927.1,7977.8,0
2022-08-08,7964.75,8072.3,7893.8,8000.35,0
2022-08-10,8034.4,8037.7,7937.35,7985.45,0
2022-08-11,8025.7,8050.15,7972.0,7998.85,0
2022-08-12,8006.0,8188.8,7997.25,8178.75,0
2022-08-16,8218.2,8310.4,8167.35,8302.45,0
2022-08-17,8318.9,8352.55,8285.35,8319.85,0
2022-08-18,8304.55,8304.6,8231.05,8265.65,0
2022-08-19,8274.55,8287.3,8097.5,8136.45,0
2022-08-22,8122.05,8131.75,8005.25,8048.25,0
2022-08-23,7985.85,8164.45,7975.4,8149.1,0
2022-08-24,8112.15,8197.55,8102.9,8148.5,0
2022-08-25,8174.55,8208.6,8099.0,8117.8,0
2022-08-26,8140.95,8207.85,8139.6,8165.2,0
2022-08-29,7996.1,8207.6,7988.1,8169.85,0
2022-08-30,8220.7,8391.8,8210.95,8357.75,0
2022-09-01,8226.5,8279.05,8180.1,8205.45,0
2022-09-02,8229.8,8268.3,8087.15,8121.25,0
2022-09-05,8112.7,8160.65,8105.15,8123.0,0
2022-09-06,8156.1,8232.65,8126.1,8216.7,0
2022-09-07,8183.85,8241.4,8165.35,8223.2,0
2022-09-08,8255.9,8298.55,8212.35,8247.35,0
2022-09-09,8309.75,8309.75,8231.6,8250.2,0
2022-09-12,8280.15,8324.15,8274.7,8308.1,0
2022-09-13,8342.95,8353.85,8281.2,8295.85,0
2022-09-14,8198.9,8272.1,8187.15,8223.75,0
2022-09-15,8228.65,8275.25,8186.55,8202.4,0
2022-09-16,8180.5,8193.15,7979.7,8016.75,0
2022-09-19,8043.05,8090.8,7974.55,8046.25,0
2022-09-20,8105.8,8177.2,8095.3,8112.6,0
2022-09-21,8109.65,8153.8,7994.35,8018.0,0
2022-09-22,7981.55,8024.75,7904.6,7999.6,0
2022-09-23,8003.05,8029.75,7849.25,7862.7,0
2022-09-26,7772.25,7818.5,7554.0,7607.95,0
2022-09-27,7651.55,7772.45,7640.4,7693.6,0
2022-09-28,7631.15,7689.5,7599.35,7623.35,0
2022-09-29,7702.65,7741.85,7567.6,7609.2,0
2022-09-30,7570.0,7685.7,7561.0,7643.9,0
2022-10-03,7701.85,7767.0,7470.15,7543.15,0
2022-10-04,7665.65,7708.65,7591.55,7685.2,0
2022-10-06,7762.1,7776.95,7723.4,7743.2,0
2022-10-07,7725.55,7730.95,7651.2,7687.65,0
2022-10-10,7618.25,7659.8,7591.3,7641.0,0
2022-10-11,7672.5,7674.0,7507.15,7521.65,0
2022-10-12,7524.05,7585.2,7498.95,7571.6,0
2022-10-13,7566.95,7588.6,7519.4,7544.9,0
2022-10-14,7645.55,7656.7,7444.8,7462.95,0
2022-10-17,7443.65,7535.3,7365.2,7511.15,0
2022-10-18,7554.15,7614.85,7550.65,7595.25,0
2022-10-19,7614.15,7721.55,7583.7,7638.8,0
2022-10-20,7608.6,7776.75,7591.65,7750.6,0
2022-10-21,7763.05,7775.95,7674.15,7721.85,0
2022-10-24,7752.65,7798.15,7743.55,7758.3,0
2022-10-25,7780.15,7801.05,7721.0,7782.3,0
2022-10-27,7812.7,7923.8,7808.3,7887.95,0
2022-10-28,7919.1,8004.6,7900.0,7969.05,0
2022-10-31,8005.65,8101.3,7978.05,8076.4,0
2022-11-01,8138.0,8138.0,8005.35,8102.2,0
2022-11-02,8112.6,8137.85,8076.95,8115.4,0
2022-11-03,8083.4,8141.25,8068.8,8121.95,0
2022-11-04,8119.45,8213.45,8052.4,8191.1,0
2022-11-07,8205.3,8301.5,8164.65,8280.05,0
2022-11-09,8291.25,8306.6,8211.65,8241.05,0
2022-11-10,8215.6,8245.75,8148.5,8178.15,0
2022-11-11,8241.2,8304.2,8218.9,8295.15,0
2022-11-14,8299.05,8327.05,8262.2,8305.75,0
2022-11-15,8329.65,8381.35,8289.75,8366.55,0
2022-11-16,8366.75,8372.95,8261.05,8303.8,0
2022-11-17,8291.55,8342.2,8248.9,8271.5,0
2022-11-18,8295.85,8302.3,8156.95,8211.9,0
2022-11-21,8204.05,8215.7,8136.15,8201.85,0
2022-11-22,8200.05,8227.6,8139.85,8210.6,0
2022-11-23,8233.1,8279.1,8204.95,8254.6,0
2022-11-24,8262.6,8358.4,8255.25,8345.65,0
2022-11-25,8364.05,8431.2,8316.0,8415.1,0
2022-11-28,8394.15,8617.05,8295.4,8549.95,0
2022-11-29,8550.25,8585.0,8507.65,8538.45,0
2022-11-30,8534.2,8632.6,8508.8,8609.6,0
2022-12-01,8646.8,8664.05,8543.15,8561.75,0
2022-12-02,8600.05,8643.05,8536.25,8566.35,0
2022-12-05,8577.05,8582.7,8457.55,8535.9,0
2022-12-06,8519.25,8564.8,8493.7,8554.35,0
2022-12-07,8562.95,8608.25,8516.8,8541.85,0
2022-12-08,8583.65,8594.85,8529.15,8550.0,0
2022-12-09,8566.9,8589.7,8434.3,8456.3,0
2022-12-12,8436.45,8557.05,8394.5,8545.05,0
2022-12-13,8565.55,8574.15,8515.25,8539.9,0
2022-12-14,8560.35,8620.9,8516.55,8543.85,0
2022-12-15,8534.3,8589.65,8505.75,8525.55,0
2022-12-16,8523.7,8610.35,8468.5,8484.6,0
2022-12-19,8510.75,8555.6,8460.7,8545.6,0
2022-12-20,8532.3,8578.05,8444.45,8566.0,0
2022-12-21,8577.75,8615.35,8367.4,8411.65,0
2022-12-22,8440.55,8462.85,8267.35,8345.55,0
2022-12-23,8273.6,8322.25,7978.65,8021.3,0
2022-12-26,8035.45,8195.55,7930.6,8148.35,0
2022-12-27,8180.8,8246.3,8137.75,8230.25,0
2022-12-28,8203.75,8347.85,8187.7,8333.65,0
2022-12-29,8281.8,8524.0,8252.35,8434.65,0
2022-12-30,8487.3,8570.65,8409.55,8438.25,0
2023-01-02,8457.8,8508.4,8426.1,8464.05,0
2023-01-03,8456.2,8489.15,8421.25,8471.25,0
2023-01-04,8472.8,8475.25,8321.9,8339.2,0
2023-01-05,8372.05,8487.25,8330.3,8461.35,0
2023-01-06,8477.1,8501.8,8417.7,8455.65,0
2023-01-09,8521.4,8598.6,8512.0,8573.45,0
2023-01-10,8593.7,8603.85,8472.3,8569.85,0
2023-01-11,8573.65,8588.6,8508.45,8532.75,0
2023-01-12,8540.9,8548.85,8389.35,8445.55,0
2023-01-13,8431.5,8491.45,8391.05,8479.3,0
2023-01-16,8491.05,8504.0,8402.65,8462.65,0
2023-01-17,8487.25,8578.65,8442.85,8551.45,0
2023-01-18,8553.4,8585.45,8520.3,8545.3,0
2023-01-19,8525.35,8603.75,8509.75,8584.55,0
2023-01-20,8589.7,8618.55,8537.0,8596.2,0
2023-01-23,8632.5,8668.95,8610.65,8632.75,0
2023-01-24,8669.6,8671.35,8561.85,8599.35,0
2023-01-25,8572.05,8597.1,8395.05,8428.2,0
2023-01-27,8353.9,8358.6,7885.65,7956.3,0
2023-01-30,7757.45,7777.3,7600.7,7672.5,0
2023-01-31,7623.95,7638.5,7570.8,7586.3,0
2023-02-01,7552.75,7578.2,7343.6,7432.3,0
2023-02-02,7307.2,7332.35,7248.75,7285.65,0
2023-02-03,7280.8,7280.9,7147.35,7220.8,0
2023-02-06,7150.5,7211.6,7140.6,7206.3,0
2023-02-07,7179.75,7210.05,7155.95,7187.65,0
2023-02-08,7168.75,7239.0,7139.4,7232.75,0
2023-02-09,7202.7,7226.4,7151.4,7209.9,0
2023-02-10,7178.85,7183.15,7136.9,7169.15,0
2023-02-13,7158.75,7172.75,7106.95,7137.95,0
2023-02-14,7117.25,7179.2,7089.85,7171.55,0
2023-02-15,7136.45,7204.1,7130.25,7194.35,0
2023-02-16,7212.7,7282.8,7195.4,7220.75,0
2023-02-17,7192.65,7241.35,7176.55,7231.65,0
2023-02-20,7227.25,7232.9,7137.8,7149.15,0
2023-02-21,7150.6,7164.3,7117.9,7125.0,0
2023-02-22,7084.8,7091.8,7009.4,7025.85,0
2023-02-23,7022.4,7052.65,6979.45,7013.8,0
2023-02-24,7018.05,7078.5,6999.75,7067.75,0
2023-02-27,7045.55,7055.65,6987.7,7036.0,0
2023-02-28,6996.2,7013.3,6922.85,6941.65,0
2023-03-01,6949.2,7019.7,6937.85,7015.2,0
2023-03-02,7008.5,7045.55,6996.35,7017.65,0
2023-03-03,7074.7,7132.75,7063.55,7111.25,0
2023-03-06,7153.4,7278.4,7149.35,7247.75,0
2023-03-08,7248.9,7311.25,7225.65,7306.6,0
2023-03-09,7334.5,7336.65,7230.45,7239.9,0
2023-03-10,7206.4,7234.7,7152.45,7225.6,0
2023-03-13,7259.35,7286.35,7144.45,7164.3,0
2023-03-14,7145.05,7181.9,7102.05,7117.3,0
2023-03-15,7133.9,7148.95,7058.35,7076.5,0
2023-03-16,7074.7,7168.8,7015.85,7114.35,0
2023-03-17,7169.15,7188.0,7089.65,7117.45,0
2023-03-20,7105.4,7112.9,7048.25,7079.1,0
2023-03-21,7118.55,7176.45,7082.5,7169.2,0
2023-03-22,7203.6,7208.0,7163.7,7178.9,0
2023-03-23,7168.75,7198.95,7144.45,7169.9,0
2023-03-24,7180.3,7189.8,7052.55,7068.1,0
2023-03-27,7082.5,7121.95,7051.4,7064.35,0
2023-03-28,7053.65,7059.15,6990.15,7031.45,0
2023-03-29,7001.1,7053.25,6973.7,7026.5,0
