Date,Open,High,Low,Close,Volume
2011-07-25,4843.35,4914.15,4823.5,4905.45,0
2011-07-26,4915.6,4949.2,4852.15,4869.4,0
2011-07-27,4868.05,4904.1,4844.7,4861.65,0
2011-07-28,4843.5,4889.35,4811.2,4877.1,0
2011-07-29,4873.65,4893.2,4844.1,4848.45,0
2011-08-01,4859.5,4900.3,4859.5,4881.7,0
2011-08-02,4872.75,4906.75,4860.1,4892.2,0
2011-08-03,4868.7,4868.7,4830.85,4841.5,0
2011-08-04,4836.7,4848.95,4757.6,4764.75,0
2011-08-05,4694.15,4723.05,4633.0,4710.75,0
2011-08-08,4653.9,4713.45,4603.8,4684.2,0
2011-08-09,4570.85,4600.4,4521.2,4543.65,0
2011-08-10,4591.1,4605.7,4556.65,4597.6,0
2011-08-11,4576.5,4653.4,4570.4,4581.0,0
2011-08-12,4606.8,4617.55,4550.05,4555.05,0
2011-08-16,4575.75,4601.65,4494.8,4523.2,0
2011-08-17,4527.85,4580.7,4510.95,4545.6,0
2011-08-18,4552.8,4562.65,4463.9,4476.25,0
2011-08-19,4429.85,4469.7,4366.95,4418.95,0
2011-08-22,4416.1,4476.3,4377.3,4469.95,0
2011-08-23,4485.4,4504.0,4425.75,4448.95,0
2011-08-24,4447.9,4500.1,4429.6,4441.3,0
2011-08-25,4476.4,4487.95,4439.95,4452.6,0
2011-08-26,4458.0,4501.45,4374.15,4412.2,0
2011-08-29,4420.35,4490.2,4420.35,4445.8,0
2011-08-30,4457.1,4532.85,4441.8,4524.3,0
2011-09-02,4596.6,4615.85,4569.85,4587.95,0
2011-09-05,4577.9,4584.1,4536.35,4556.95,0
2011-09-06,4551.9,4562.25,4521.5,4545.95,0
2011-09-07,4557.45,4571.35,4540.35,4558.15,0
2011-09-08,4560.55,4618.05,4560.55,4592.9,0
2011-09-09,4601.5,4625.3,4540.5,4551.25,0
2011-09-12,4531.1,4538.15,4466.1,4530.35,0
2011-09-13,4539.05,4602.6,4492.35,4504.3,0
2011-09-14,4526.35,4556.5,4493.8,4528.8,0
2011-09-15,4553.45,4558.95,4503.0,4543.85,0
2011-09-16,4545.35,4580.2,4533.1,4567.25,0
