Date,Open,High,Low,Close,Volume
2011-07-25,6881.55,6977.15,6870.2,6954.95,0
2011-07-26,6956.1,6973.75,6814.25,6834.95,0
2011-07-27,6844.25,6850.2,6781.35,6809.4,0
2011-07-28,6740.15,6758.4,6695.1,6706.7,0
2011-07-29,6698.25,6765.6,6656.2,6733.5,0
2011-08-01,6792.15,6835.5,6752.55,6779.95,0
2011-08-02,6751.05,6751.05,6656.95,6672.55,0
2011-08-03,6612.95,6630.45,6564.65,6614.05,0
2011-08-04,6629.85,6673.75,6546.65,6556.5,0
2011-08-05,6403.4,6423.75,6283.15,6395.8,0
2011-08-08,6234.65,6369.05,6188.05,6247.1,0
2011-08-09,6043.6,6291.5,6031.55,6169.1,0
2011-08-10,6332.6,6332.6,6256.5,6304.8,0
2011-08-11,6270.0,6334.25,6249.5,6269.35,0
2011-08-12,6342.25,6342.25,6128.6,6152.15,0
2011-08-16,6235.3,6235.65,6079.8,6098.5,0
2011-08-17,6090.85,6187.1,6070.85,6117.65,0
2011-08-18,6145.0,6148.85,5906.05,5924.2,0
2011-08-19,5817.1,5851.85,5726.65,5795.0,0
2011-08-22,5794.3,5840.05,5729.6,5809.65,0
2011-08-23,5844.5,5919.85,5777.35,5896.8,0
2011-08-24,5876.25,5923.85,5803.45,5822.05,0
2011-08-25,5854.65,5855.65,5709.2,5729.35,0
2011-08-26,5730.15,5770.55,5606.15,5638.85,0
2011-08-29,5715.35,5880.0,5715.35,5863.4,0
2011-08-30,5930.25,5990.75,5879.25,5972.1,0
2011-09-02,6101.35,6101.35,5911.6,5973.75,0
2011-09-05,5929.2,5952.15,5873.75,5944.4,0
2011-09-06,5916.0,5984.1,5824.45,5971.3,0
2011-09-07,5991.9,6092.3,5986.6,6058.9,0
2011-09-08,6076.3,6106.1,6035.75,6084.25,0
2011-09-09,6101.25,6105.35,5953.3,5972.15,0
2011-09-12,5883.5,5883.5,5772.3,5806.95,0
2011-09-13,5850.05,5919.2,5762.1,5797.4,0
2011-09-14,5826.5,5912.65,5773.55,5895.7,0
2011-09-15,5957.7,6035.35,5848.35,6009.3,0
2011-09-16,6067.5,6093.9,5986.95,6028.3,0
2011-09-19,6005.0,6005.45,5952.75,5965.8,0
2011-09-20,5981.4,6130.7,5981.4,6117.05,0
2011-09-21,6138.05,6172.65,6102.0,6142.35,0
2011-09-22,6043.55,6044.1,5860.4,5886.45,0
