Date,Open,High,Low,Close,Volume
2022-07-18,7725.55,7786.35,7722.2,7781.45,0
2022-07-19,7747.95,7828.7,7747.85,7819.8,0
2022-07-20,7913.1,7918.65,7868.0,7881.4,0
2022-07-21,7886.35,7950.3,7868.9,7941.05,0
2022-07-22,7970.75,7989.45,7937.55,7976.5,0
2022-07-25,7961.2,7976.05,7916.45,7944.85,0
2022-07-26,7947.95,7948.95,7857.15,7867.55,0
2022-07-27,7862.55,7939.5,7844.4,7934.15,0
2022-07-28,7990.95,8053.75,7971.5,8046.95,0
2022-07-29,8112.85,8161.9,8094.05,8155.3,0
2022-08-01,8197.8,8263.0,8156.25,8256.7,0
2022-08-02,8249.05,8290.8,8212.65,8274.1,0
2022-08-03,8277.35,8291.5,8204.0,8274.0,0
2022-08-04,8311.7,8328.35,8168.2,8281.5,0
2022-08-05,8304.45,8326.4,8272.1,8286.25,0
2022-08-08,8292.6,8346.7,8268.35,8337.3,0
2022-08-10,8359.55,8359.55,8296.25,8333.1,0
2022-08-11,8409.55,8413.45,8378.75,8392.35,0
2022-08-12,8397.1,8430.1,8373.9,8417.8,0
2022-08-16,8463.2,8498.85,8452.85,8495.0,0
2022-08-17,8520.25,8561.0,8510.25,8550.15,0
2022-08-18,8537.9,8571.2,8521.85,8565.2,0
2022-08-19,8577.65,8588.55,8455.9,8473.1,0
2022-08-22,8444.0,8445.65,8331.85,8343.45,0
2022-08-23,8280.3,8414.5,8276.45,8393.75,0
2022-08-24,8379.2,8429.45,8366.15,8422.8,0
2022-08-25,8461.3,8486.3,8387.8,8401.9,0
2022-08-26,8450.2,8481.2,8411.55,8428.8,0
2022-08-29,8234.2,8357.0,8232.1,8333.0,0
2022-08-30,8388.35,8534.55,8385.05,8527.15,0
2022-09-01,8427.8,8521.55,8427.15,8468.25,0
2022-09-02,8503.05,8521.2,8453.7,8463.3,0
2022-09-05,8475.45,8526.3,8473.15,8516.5,0
2022-09-06,8542.6,8568.6,8489.9,8526.0,0
2022-09-07,8476.0,8539.2,8463.5,8531.4,0
2022-09-08,8593.6,8603.95,8557.8,8598.65,0
2022-09-09,8658.3,8658.9,8589.65,8612.25,0
2022-09-12,8644.65,8687.2,8643.45,8674.2,0
2022-09-13,8724.45,8734.65,8706.2,8725.2,0
2022-09-14,8588.45,8735.7,8588.45,8704.25,0
2022-09-15,8735.8,8757.55,8657.2,8677.85,0
2022-09-16,8650.2,8657.05,8463.9,8490.45,0
2022-09-19,8502.65,8549.0,8429.35,8518.1,0
2022-09-20,8590.65,8664.1,8583.45,8615.1,0
2022-09-21,8604.25,8641.65,8531.1,8553.8,0
2022-09-22,8511.9,8569.25,8479.3,8541.05,0
2022-09-23,8535.85,8555.7,8372.45,8386.0,0
2022-09-26,8307.9,8316.1,8166.45,8197.7,0
2022-09-27,8242.4,8281.2,8156.9,8199.65,0
2022-09-28,8138.55,8222.95,8116.0,8140.1,0
2022-09-29,8212.0,8232.0,8111.55,8131.5,0
2022-09-30,8123.0,8286.1,8083.7,8257.7,0
2022-10-03,8262.05,8274.85,8123.65,8152.6,0
2022-10-04,8280.8,8339.65,8271.95,8334.3,0
2022-10-06,8389.15,8421.2,8379.45,8385.15,0
2022-10-07,8373.3,8387.6,8325.85,8378.1,0
2022-10-10,8279.0,8352.3,8257.35,8331.45,0
