Symbol,Reason,Source,Timestamp
NIFTYNXT50,Fyers error: 401 Client Error: Unauthorized for url: https://api-t1.fyers.in/data/history?symbol=NSE%3ANIFTYNXT50-INDEX&resolution=1D&date_format=1&range_from=2011-07-24&range_to=2012-07-23&cont_flag=1; Yahoo error: No data returned from Yahoo Finance for ticker '^NIFTYNXT50'.,Fyers -> Yahoo Finance,2026-07-20 22:29:49
NIFTYTOTALMKT,Fyers error: 401 Client Error: Unauthorized for url: https://api-t1.fyers.in/data/history?symbol=NSE%3ANIFTYTOTALMKT-INDEX&resolution=1D&date_format=1&range_from=2011-07-24&range_to=2012-07-23&cont_flag=1; Yahoo error: 'NIFTYTOTALMKT' is not available on Yahoo Finance. Please authenticate with Fyers API (set FYERS_ACCESS_TOKEN in fyers.env) and re-run to download via Fyers.,Fyers -> Yahoo Finance,2026-07-20 22:29:49
NIFTYLARGEMID250,Fyers error: 401 Client Error: Unauthorized for url: https://api-t1.fyers.in/data/history?symbol=NSE%3ANIFTYLARGEMID250-INDEX&resolution=1D&date_format=1&range_from=2011-07-24&range_to=2012-07-23&cont_flag=1; Yahoo error: No data returned from Yahoo Finance for ticker '^NIFTYLARGEMID250'.,Fyers -> Yahoo Finance,2026-07-20 22:29:50
NIFTYMIDCAP150,Fyers error: 401 Client Error: Unauthorized for url: https://api-t1.fyers.in/data/history?symbol=NSE%3ANIFTYMIDCAP150-INDEX&resolution=1D&date_format=1&range_from=2011-07-24&range_to=2012-07-23&cont_flag=1; Yahoo error: 'NIFTYMIDCAP150' is not available on Yahoo Finance. Please authenticate with Fyers API (set FYERS_ACCESS_TOKEN in fyers.env) and re-run to download via Fyers.,Fyers -> Yahoo Finance,2026-07-20 22:29:50
NIFTYSMLCAP50,Fyers error: 401 Client Error: Unauthorized for url: https://api-t1.fyers.in/data/history?symbol=NSE%3ANIFTYSMLCAP50-INDEX&resolution=1D&date_format=1&range_from=2011-07-24&range_to=2012-07-23&cont_flag=1; Yahoo error: No data returned from Yahoo Finance for ticker '^NIFTYSMLCAP50'.,Fyers -> Yahoo Finance,2026-07-20 22:29:51
NIFTYSMLCAP100,Fyers error: 401 Client Error: Unauthorized for url: https://api-t1.fyers.in/data/history?symbol=NSE%3ANIFTYSMLCAP100-INDEX&resolution=1D&date_format=1&range_from=2011-07-24&range_to=2012-07-23&cont_flag=1; Yahoo error: No data returned from Yahoo Finance for ticker '^NIFTYSMLCAP100'.,Fyers -> Yahoo Finance,2026-07-20 22:29:51
NIFTYSMLCAP250,Fyers error: 401 Client Error: Unauthorized for url: https://api-t1.fyers.in/data/history?symbol=NSE%3ANIFTYSMLCAP250-INDEX&resolution=1D&date_format=1&range_from=2011-07-24&range_to=2012-07-23&cont_flag=1; Yahoo error: No data returned from Yahoo Finance for ticker '^NIFTYSMLCAP250'.,Fyers -> Yahoo Finance,2026-07-20 22:29:52
NIFTYMICROCAP250,Fyers error: 401 Client Error: Unauthorized for url: https://api-t1.fyers.in/data/history?symbol=NSE%3ANIFTYMICROCAP250-INDEX&resolution=1D&date_format=1&range_from=2011-07-24&range_to=2012-07-23&cont_flag=1; Yahoo error: 'NIFTYMICROCAP250' is not available on Yahoo Finance. Please authenticate with Fyers API (set FYERS_ACCESS_TOKEN in fyers.env) and re-run to download via Fyers.,Fyers -> Yahoo Finance,2026-07-20 22:29:52
FINNIFTY,Fyers error: 401 Client Error: Unauthorized for url: https://api-t1.fyers.in/data/history?symbol=NSE%3AFINNIFTY-INDEX&resolution=1D&date_format=1&range_from=2011-07-24&range_to=2012-07-23&cont_flag=1; Yahoo error: No data returned from Yahoo Finance for ticker '^FINNIFTY'.,Fyers -> Yahoo Finance,2026-07-20 22:29:52
NIFTYPVTBANK,Fyers error: 401 Client Error: Unauthorized for url: https://api-t1.fyers.in/data/history?symbol=NSE%3ANIFTYPVTBANK-INDEX&resolution=1D&date_format=1&range_from=2011-07-24&range_to=2012-07-23&cont_flag=1; Yahoo error: No data returned from Yahoo Finance for ticker '^NIFTYPVTBANK'.,Fyers -> Yahoo Finance,2026-07-20 22:29:53
