Date,Open,High,Low,Close,Volume
2021-12-14,150.0,153.75,141.39,145.89,55723800
2021-12-15,146.25,149.7,144.5,146.24,5351248
2021-12-16,146.5,148.63,141.53,142.73,2659472
2021-12-17,142.7,144.74,141.24,142.19,2656852
2021-12-20,138.75,140.16,135.65,137.89,3161016
2021-12-21,138.0,144.6,138.0,143.66,2287144
2021-12-22,142.5,147.24,142.5,145.13,1210492
2021-12-23,145.13,146.75,142.51,144.03,821260
2021-12-24,143.53,144.32,141.4,142.85,593868
2021-12-27,140.78,143.24,140.78,142.86,875444
2021-12-28,143.0,144.5,141.75,143.01,943512
2021-12-29,142.53,150.51,142.05,145.79,1493716
2021-12-30,145.04,151.25,145.04,146.44,2549108
2021-12-31,146.99,151.5,146.25,147.13,1535564
2022-01-03,148.75,160.63,148.01,158.19,4492296
2022-01-04,157.43,163.5,154.59,159.95,3775900
2022-01-05,158.98,162.13,157.85,159.28,1381288
2022-01-06,158.73,160.5,156.0,158.68,1202696
2022-01-07,161.5,162.25,152.0,154.86,3796180
2022-01-10,152.53,161.1,149.26,157.32,4742620
2022-01-11,157.43,160.19,154.75,156.5,1513836
2022-01-12,157.68,158.73,152.53,154.61,646748
2022-01-13,155.86,156.98,153.45,154.98,1412848
2022-01-14,155.98,157.25,154.14,155.74,665812
2022-01-17,157.13,159.51,154.03,154.75,1076480
2022-01-18,156.5,157.51,152.5,153.38,618456
2022-01-19,153.25,155.25,149.93,152.71,580180
2022-01-20,151.28,156.6,150.69,151.26,1239896
2022-01-21,149.0,155.23,148.99,150.78,850604
2022-01-24,151.23,152.07,142.75,145.01,1270448
2022-01-25,145.0,150.2,143.56,148.11,601108
2022-01-27,147.5,149.75,145.7,148.43,198492
2022-01-28,149.23,152.74,147.5,148.55,395884
2022-01-31,149.91,151.0,145.25,146.13,801724
2022-02-01,147.25,149.5,145.0,147.28,561436
2022-02-02,147.78,150.25,147.28,148.36,271012
2022-02-03,147.31,148.99,146.59,146.75,162024
2022-02-04,147.0,147.51,143.5,146.88,266944
2022-02-07,146.75,147.41,145.0,145.85,150564
2022-02-08,145.75,147.5,142.54,145.79,411152
2022-02-09,146.5,147.75,142.5,145.46,536500
2022-02-10,145.75,151.94,145.54,151.43,773624
2022-02-11,153.24,153.45,137.5,147.95,745304
2022-02-14,143.85,146.49,138.63,142.18,926364
2022-02-15,141.5,148.1,139.31,146.54,1179648
2022-02-16,146.25,147.88,142.53,142.94,255544
2022-02-17,143.25,144.5,140.5,143.21,536180
2022-02-18,141.78,143.32,140.05,141.55,441724
2022-02-21,139.95,142.04,139.0,140.8,325556
2022-02-22,137.53,141.0,136.53,140.11,567660
2022-02-23,139.28,143.1,139.1,140.23,84856
2022-02-24,137.71,139.16,135.51,137.85,636456
2022-02-25,138.75,141.23,138.75,139.95,512516
2022-02-28,139.95,140.36,138.51,139.75,111160
2022-03-02,138.53,141.25,138.03,138.93,159176
2022-03-03,138.75,141.73,138.75,140.57,151588
2022-03-04,138.5,141.16,138.5,139.23,120016
2022-03-07,138.75,140.3,138.0,139.79,143840
2022-03-08,139.03,150.45,139.03,145.91,887952
2022-03-09,147.63,147.63,143.1,146.13,434200
2022-03-10,147.44,147.5,142.5,144.53,314828
2022-03-11,145.0,146.0,142.69,143.21,551788
2022-03-14,142.25,144.36,140.19,142.11,301436
2022-03-15,142.5,143.35,140.75,141.06,81664
2022-03-16,144.19,144.19,142.3,143.46,95796
2022-03-17,144.94,145.13,141.88,142.51,174680
2022-03-21,143.0,144.63,141.54,144.05,176184
2022-03-22,145.18,147.31,144.5,146.68,297724
2022-03-23,147.5,149.01,145.5,147.09,309180
2022-03-24,146.25,148.11,146.25,147.89,116948
2022-03-25,148.25,149.45,147.75,148.5,185792
2022-03-28,148.61,149.1,147.26,148.45,89104
2022-03-29,148.75,149.75,147.14,148.79,639492
2022-03-30,151.2,155.75,150.5,151.63,925656
2022-03-31,152.5,153.1,150.75,151.57,254740
2022-04-01,154.25,154.25,151.3,152.1,131068
2022-04-04,152.5,154.56,151.5,153.63,359752
2022-04-05,153.75,154.75,152.81,153.07,148400
2022-04-06,153.0,159.0,152.76,155.31,329740
2022-04-07,155.0,156.25,151.5,152.45,415188
2022-04-08,152.25,155.45,152.25,152.73,165020
2022-04-11,152.75,153.18,151.56,152.5,142612
2022-04-12,154.5,155.1,152.5,153.16,460772
2022-04-13,163.75,180.34,163.75,166.54,13841684
2022-04-18,165.5,176.75,162.75,174.8,4696564
2022-04-19,176.75,177.1,163.5,165.18,1256368
2022-04-20,166.75,171.25,163.05,164.58,582876
2022-04-21,165.55,167.68,161.79,162.35,388536
2022-04-22,161.25,167.0,161.0,163.28,534572
2022-04-25,163.21,163.66,159.54,160.46,268900
2022-04-26,162.25,164.43,158.78,160.16,547228
2022-04-27,159.96,168.75,156.13,167.16,714532
2022-04-28,168.0,168.74,161.18,163.56,351968
2022-04-29,162.63,166.51,160.66,162.15,273640
2022-05-02,162.5,165.5,159.04,161.85,1054572
2022-05-04,165.0,165.0,160.26,160.69,180244
2022-05-05,160.5,164.58,157.75,159.28,194180
2022-05-06,157.0,158.75,153.05,157.39,303832
2022-05-09,155.28,158.99,154.25,156.4,308848
2022-05-10,157.0,158.64,155.88,157.16,195608
2022-05-11,155.78,157.5,152.38,155.03,226060
2022-05-12,154.98,155.09,152.0,153.04,323204
2022-05-13,156.19,156.19,152.5,153.14,102704
2022-05-16,155.69,155.69,151.81,153.81,114708
2022-05-17,156.19,167.0,154.06,164.98,468572
2022-05-18,166.51,167.39,158.81,159.55,191848
2022-05-19,155.0,160.71,154.56,159.25,137180
2022-05-20,161.11,166.98,157.51,164.19,311980
2022-05-23,164.08,165.25,157.5,158.35,159388
2022-05-24,159.25,159.74,156.0,156.64,62808
2022-05-25,156.78,158.45,155.07,156.51,108884
2022-05-26,157.95,159.28,154.81,156.59,251884
2022-05-27,156.53,163.64,155.86,161.49,213968
2022-05-30,162.25,167.35,161.9,162.99,326064
