Date,Open,High,Low,Close,Volume
2011-08-02,34.26,34.84,34.09,34.11,35550
2011-08-03,34.06,34.09,33.21,33.81,52200
2011-08-04,34.59,34.71,33.58,34.21,26031
2011-08-05,33.71,34.09,32.36,33.38,81155
2011-08-08,32.11,33.16,31.63,32.26,46438
2011-08-09,31.58,32.11,30.88,31.1,63413
2011-08-10,31.4,32.83,31.4,31.88,21070
2011-08-11,31.83,32.36,31.25,31.73,13722
2011-08-12,32.68,36.59,32.58,35.04,1318328
2011-08-16,35.34,36.04,32.63,32.91,120158
2011-08-17,33.08,33.08,31.1,31.55,65715
2011-08-18,32.33,32.33,30.8,31.05,53785
2011-08-19,30.63,31.0,30.08,30.58,70678
2011-08-22,30.33,32.48,30.18,31.83,28982
2011-08-23,31.83,32.56,31.6,31.93,29490
2011-08-24,32.08,32.76,31.83,32.03,18637
2011-08-25,32.08,32.33,31.33,31.48,16423
2011-08-26,31.15,32.51,31.15,31.43,59079
2011-08-29,31.58,33.58,31.55,32.81,134060
2011-08-30,32.61,33.56,32.61,32.91,27499
2011-09-02,33.58,34.39,32.68,33.83,56147
2011-09-05,33.61,34.69,33.61,34.06,23246
2011-09-06,33.61,34.29,33.36,34.11,19933
2011-09-07,34.51,35.54,34.11,35.19,52232
2011-09-08,35.54,36.04,35.14,35.59,19925
2011-09-09,35.79,36.09,33.83,34.29,28866
2011-09-12,35.04,35.54,33.36,33.66,19629
2011-09-13,33.43,34.49,33.43,34.19,24539
2011-09-14,34.39,34.39,33.18,33.81,23045
2011-09-15,33.61,34.54,33.43,34.01,19739
2011-09-16,34.51,35.04,33.68,33.91,36816
2011-09-19,35.04,35.04,33.88,34.11,9688
2011-09-20,33.66,35.29,33.66,35.11,26681
2011-09-21,34.84,37.19,34.84,36.27,161236
2011-09-22,36.09,36.29,33.88,34.21,25448
2011-09-23,33.71,33.98,32.81,33.31,34310
2011-09-26,33.58,33.81,32.33,32.56,17176
2011-09-27,33.01,34.09,33.01,33.91,23122
2011-09-28,34.06,34.31,32.68,33.13,17172
2011-09-29,32.83,33.08,32.13,32.78,17714
2011-09-30,33.03,33.11,32.43,32.66,7839
2011-10-03,32.18,33.58,31.83,32.88,17830
2011-10-04,32.38,33.08,31.73,31.83,58122
2011-10-05,32.08,32.33,31.0,31.13,29848
2011-10-07,31.43,34.14,31.05,32.13,79764
2011-10-10,32.31,32.31,31.08,31.25,51777
2011-10-11,31.45,32.08,31.13,31.28,55676
2011-10-12,30.7,33.48,30.68,32.63,49594
2011-10-13,32.68,33.73,32.68,33.03,45055
2011-10-14,33.08,33.08,31.65,31.8,26784
2011-10-17,32.08,32.58,31.95,32.16,14567
2011-10-18,32.41,32.58,31.15,31.43,61445
2011-10-19,31.98,32.08,31.48,31.8,15681
2011-10-20,31.98,31.98,30.93,31.2,30670
2011-10-21,31.48,32.56,31.0,31.13,28515
2011-10-24,31.58,31.68,30.95,31.08,26889
2011-10-25,31.13,32.76,30.95,31.35,135085
2011-10-26,31.33,32.01,31.33,31.85,11671
2011-10-28,31.68,32.88,31.68,32.61,53489
2011-10-31,32.31,32.86,32.01,32.28,32088
2011-11-01,32.08,32.83,31.83,32.01,21321
2011-11-02,31.98,32.18,31.83,31.98,20779
2011-11-03,31.73,32.38,31.7,32.08,15767
2011-11-04,32.21,34.09,32.18,32.88,92678
2011-11-08,32.88,33.08,31.93,32.23,32066
2011-11-09,32.48,32.86,31.65,31.88,12912
2011-11-11,31.58,32.06,31.2,31.3,25396
2011-11-14,31.23,31.58,29.82,30.03,34765
2011-11-15,29.87,30.53,29.3,29.42,22292
2011-11-16,29.27,29.52,28.6,29.05,14598
2011-11-17,28.62,29.32,27.59,27.89,19462
