Date,Open,High,Low,Close,Volume
2011-08-02,28.28,28.63,28.28,28.54,176887
2011-08-03,27.83,28.84,27.83,28.6,391052
2011-08-04,28.93,28.99,28.54,28.6,227731
2011-08-05,27.8,28.01,27.21,27.92,527068
2011-08-08,27.8,27.8,25.79,26.86,844849
2011-08-09,26.59,26.88,25.52,26.62,430401
2011-08-10,27.15,27.98,27.1,27.86,304994
2011-08-11,28.37,28.37,27.33,27.8,218020
2011-08-12,27.74,27.95,27.21,27.59,196408
2011-08-16,27.92,27.98,27.06,27.21,173005
2011-08-17,27.27,27.45,26.59,26.62,170607
2011-08-18,26.92,26.92,25.38,25.65,488802
2011-08-19,23.4,26.03,23.4,25.67,1007349
2011-08-22,25.76,25.76,25.08,25.38,573951
2011-08-23,25.58,26.38,25.58,26.3,298951
2011-08-24,26.59,26.59,25.73,26.3,210418
2011-08-25,26.47,26.47,25.73,25.99,233432
2011-08-26,26.53,26.71,25.85,26.03,378033
2011-08-29,26.56,26.56,25.99,26.23,151398
2011-08-30,26.5,27.71,26.32,27.21,388726
2011-09-02,27.39,27.68,26.68,27.48,262986
2011-09-05,27.48,28.1,26.32,28.04,494700
2011-09-06,27.95,28.3,27.27,28.15,247178
2011-09-07,28.24,28.39,27.68,27.71,255145
2011-09-08,27.57,27.95,27.39,27.83,167553
2011-09-09,27.86,27.92,27.27,27.3,134515
2011-09-12,26.77,27.18,26.62,26.77,175537
2011-09-13,26.74,27.1,26.47,26.53,107725
2011-09-14,26.68,26.88,26.21,26.53,128822
2011-09-15,26.88,26.97,26.21,26.77,161939
2011-09-16,26.92,26.97,26.44,26.56,162517
2011-09-19,26.32,26.86,25.88,26.65,565999
2011-09-20,26.62,27.39,26.41,27.36,330804
2011-09-21,27.62,27.71,27.21,27.33,200277
2011-09-22,26.77,27.1,26.12,26.26,251909
2011-09-23,26.03,26.32,25.14,26.08,207372
2011-09-26,26.06,26.38,25.43,25.52,250813
2011-09-27,25.91,26.17,25.65,25.73,158077
2011-09-28,25.67,26.44,25.67,26.3,183182
2011-09-29,26.17,26.44,25.82,26.38,120864
2011-09-30,26.17,26.38,25.5,26.14,125402
2011-10-03,25.5,26.03,25.5,25.85,105884
2011-10-04,25.56,25.97,25.43,25.47,118440
2011-10-05,25.43,25.79,25.35,25.43,135044
2011-10-07,25.56,26.03,25.23,25.38,224352
2011-10-10,25.67,25.99,25.14,25.73,284653
2011-10-11,26.06,26.08,25.32,25.56,186058
2011-10-12,25.5,25.85,25.35,25.76,151679
2011-10-13,25.85,26.08,25.52,25.67,119947
2011-10-14,25.79,25.79,25.29,25.38,250744
2011-10-17,25.73,25.73,25.43,25.58,101339
2011-10-18,25.02,25.43,25.02,25.32,78655
2011-10-19,25.43,25.73,25.43,25.65,206457
2011-10-20,25.47,25.58,25.14,25.47,123568
2011-10-21,25.73,26.08,25.23,26.03,360278
2011-10-24,26.5,26.62,25.35,25.47,122133
2011-10-25,25.56,25.88,25.38,25.73,120115
2011-10-26,25.85,26.12,25.67,25.94,71707
2011-10-28,26.06,26.94,25.61,26.77,479698
2011-10-31,26.62,27.18,26.32,27.03,438223
2011-11-01,26.79,27.21,26.26,26.62,171660
2011-11-02,26.62,27.33,26.62,26.94,393628
2011-11-03,27.1,27.27,26.68,27.03,323795
2011-11-04,27.21,27.59,27.03,27.18,202842
2011-11-08,28.37,28.99,27.03,27.3,418249
2011-11-09,27.42,27.92,27.3,27.42,503079
2011-11-11,27.21,27.21,26.62,26.74,297343
2011-11-14,27.21,27.21,25.73,26.03,199420
2011-11-15,26.03,26.23,25.17,25.38,181122
2011-11-16,25.61,25.61,24.9,25.08,160869
2011-11-17,25.08,25.82,24.9,25.61,173480
2011-11-18,25.43,25.88,25.02,25.7,340634
2011-11-21,25.43,25.61,25.08,25.29,877997
2011-11-22,25.14,25.67,24.25,25.29,231275
2011-11-23,26.32,26.32,25.02,25.43,277091
2011-11-24,25.43,26.35,25.17,25.99,229050
2011-11-25,26.03,26.35,25.73,26.14,206006
2011-11-28,26.77,26.77,26.03,26.12,126166
2011-11-29,26.17,26.17,25.61,25.7,81840
2011-11-30,25.43,25.76,25.43,25.47,88353
2011-12-01,26.03,26.17,25.38,25.43,248992
2011-12-02,26.59,26.59,25.23,25.67,133485
2011-12-05,25.99,26.14,25.58,25.76,98294
2011-12-07,25.91,26.03,25.52,25.94,199706
2011-12-08,25.65,25.99,25.65,25.91,114762
2011-12-09,25.61,26.12,25.61,26.03,230748
2011-12-12,26.03,26.23,25.14,25.47,423745
2011-12-13,25.88,25.88,25.26,25.56,181427
2011-12-14,25.85,25.85,25.14,25.38,115174
2011-12-15,25.38,25.58,25.2,25.5,167548
2011-12-16,25.7,25.85,25.14,25.38,232171
2011-12-19,25.14,25.38,23.13,23.51,562801
2011-12-20,24.22,24.22,23.36,23.51,221279
2011-12-21,23.81,24.05,23.49,23.87,229164
2011-12-22,24.14,24.14,23.63,23.87,173807
2011-12-23,23.72,24.96,23.72,24.81,375490
2011-12-26,25.14,25.32,24.4,25.11,152383
2011-12-27,25.41,25.67,24.78,25.41,227010
2011-12-28,25.73,25.73,24.67,24.99,192559
