Date,Open,High,Low,Close,Volume
2011-08-02,80.8,81.33,80.0,80.17,19328
2011-08-03,79.41,82.0,79.0,80.37,153891
2011-08-04,80.8,81.65,79.33,80.09,19218
2011-08-05,79.39,79.39,77.4,77.85,41571
2011-08-08,76.74,79.31,75.0,76.38,9155
2011-08-09,73.41,76.53,73.4,75.03,15554
2011-08-10,76.33,78.33,76.0,77.69,63209
2011-08-11,75.41,80.6,75.41,80.0,18246
2011-08-12,80.67,81.1,79.37,80.23,11258
2011-08-16,79.33,81.33,79.0,79.8,8399
2011-08-17,80.33,81.4,78.7,80.61,12816
2011-08-18,79.0,80.0,76.67,79.17,6087
2011-08-19,78.0,78.0,75.67,77.51,8898
2011-08-22,77.99,77.99,75.27,76.75,3671
2011-08-23,78.0,78.0,74.94,76.29,5259
2011-08-24,76.53,77.69,73.67,73.98,8864
2011-08-25,74.0,74.6,72.81,73.29,4029
2011-08-26,73.03,73.6,70.0,70.71,6818
2011-08-29,70.33,74.0,70.33,73.07,16134
2011-08-30,73.7,75.93,72.73,74.31,11942
2011-09-02,74.53,76.27,72.67,73.05,80349
2011-09-05,74.0,74.67,73.47,74.23,2667
2011-09-06,72.27,75.67,72.27,74.81,3600
2011-09-07,74.67,78.4,74.67,77.78,15761
2011-09-08,76.67,79.33,75.71,76.79,26007
2011-09-09,76.79,76.93,75.17,75.61,1545
2011-09-12,73.6,75.19,72.83,74.68,7463
2011-09-13,73.69,75.47,72.69,73.85,3380
2011-09-14,73.08,75.47,72.25,72.91,12180
2011-09-15,73.33,75.2,73.01,73.97,40562
2011-09-16,74.67,74.99,73.33,74.0,3066
2011-09-19,74.67,74.67,71.69,72.48,3405
2011-09-20,73.33,74.16,72.41,73.08,15641
2011-09-21,70.53,75.33,70.53,73.93,19545
2011-09-22,72.0,76.13,71.67,72.36,34671
2011-09-23,72.33,74.93,71.71,72.52,95354
2011-09-26,72.67,73.0,70.02,70.68,48273
2011-09-27,72.0,72.99,71.34,71.99,101018
2011-09-28,72.27,73.99,71.67,73.06,17495
2011-09-29,72.53,76.07,71.89,73.83,26070
2011-09-30,74.0,74.0,72.4,73.31,24185
2011-10-03,72.8,73.33,72.01,72.63,5115
2011-10-04,72.99,73.33,71.93,72.63,11897
2011-10-05,75.99,75.99,70.33,70.78,13703
2011-10-07,72.0,72.6,70.89,71.15,3171
2011-10-10,73.0,73.87,69.81,70.89,8873
2011-10-11,72.67,72.67,70.81,72.09,9662
2011-10-12,72.07,72.33,70.67,71.49,4587
2011-10-13,72.0,72.13,70.95,71.23,1718
2011-10-14,71.34,71.73,70.78,71.02,1643
2011-10-17,71.27,72.67,70.87,71.15,9047
2011-10-18,70.49,71.0,68.53,68.96,15428
2011-10-19,69.93,70.0,68.81,69.29,12285
2011-10-20,69.0,69.91,68.07,69.33,4031
2011-10-21,68.41,70.0,68.41,68.99,8657
2011-10-24,67.61,69.67,66.75,68.9,18302
2011-10-25,68.71,69.33,67.89,68.95,15840
2011-10-26,69.0,72.67,69.0,71.29,6507
2011-10-28,72.27,74.07,70.33,73.71,14225
2011-10-31,73.45,74.67,72.0,72.57,9381
2011-11-01,72.0,73.0,69.33,71.24,5496
2011-11-02,70.34,72.45,70.13,71.03,6426
2011-11-03,69.27,70.33,60.09,68.89,28505
2011-11-04,68.89,70.05,68.67,69.72,12677
2011-11-08,69.75,70.0,68.67,69.19,4907
2011-11-09,69.01,69.33,68.04,68.37,4730
2011-11-11,69.2,69.2,66.33,66.59,20703
2011-11-14,67.93,67.93,66.07,66.46,10413
2011-11-15,66.21,66.93,66.21,66.66,5634
2011-11-16,65.73,69.67,65.73,68.87,17966
2011-11-17,68.87,71.07,67.02,69.01,26465
2011-11-18,70.53,71.0,67.67,68.6,52619
2011-11-21,67.08,69.18,66.27,66.63,10524
2011-11-22,66.13,67.93,65.4,67.16,10053
2011-11-23,67.93,67.93,63.96,64.25,11037
2011-11-24,64.99,66.33,61.49,64.95,57642
2011-11-25,74.33,76.0,68.0,70.55,223608
2011-11-28,70.21,70.21,67.4,68.43,40562
2011-11-29,68.0,68.0,63.87,65.72,44987
2011-11-30,64.33,67.6,63.33,66.63,37709
2011-12-01,67.65,68.33,66.02,66.28,19698
2011-12-02,66.11,67.19,65.41,66.33,11160
2011-12-05,65.0,65.57,63.61,64.17,31071
2011-12-07,64.0,65.13,63.2,63.75,27416
2011-12-08,63.34,64.0,62.08,62.75,12581
2011-12-09,61.81,62.33,61.27,61.61,5793
2011-12-12,62.66,65.33,61.33,62.17,7355
2011-12-13,63.0,63.0,60.35,60.54,3870
2011-12-14,60.53,61.8,59.41,59.96,5960
2011-12-15,59.33,60.0,58.15,59.09,8178
