Date,Open,High,Low,Close,Volume
2022-04-01,1286.17,1291.33,1242.0,1269.37,5586
2022-04-04,1285.98,1296.17,1260.0,1280.9,6444
2022-04-05,1276.51,1333.33,1273.68,1322.33,29334
2022-04-06,1333.33,1341.68,1300.0,1321.98,34932
2022-04-07,1304.37,1348.99,1303.52,1316.83,23208
2022-04-08,1344.17,1344.17,1296.33,1298.06,9672
2022-04-11,1323.67,1323.67,1298.71,1306.9,6372
2022-04-12,1302.01,1316.65,1289.17,1300.13,4272
2022-04-13,1308.33,1308.33,1261.1,1277.03,12156
2022-04-18,1299.17,1312.49,1262.01,1274.88,186726
2022-04-19,1286.04,1298.33,1253.19,1274.21,46920
2022-04-20,1273.17,1303.33,1266.5,1293.78,10350
2022-04-21,1290.17,1333.32,1278.77,1332.95,21030
2022-04-22,1311.85,1330.67,1303.52,1318.15,3636
2022-04-25,1325.0,1329.99,1283.67,1299.46,20226
2022-04-26,1303.67,1331.33,1289.76,1324.24,46968
2022-04-27,1315.68,1329.99,1312.43,1322.1,6246
2022-04-28,1317.51,1320.94,1300.18,1318.18,14604
2022-04-29,1311.52,1329.83,1271.0,1299.1,27606
2022-05-02,1275.99,1329.83,1275.03,1315.0,21246
2022-05-04,1295.28,1328.92,1293.68,1307.61,9156
2022-05-05,1306.97,1316.31,1286.99,1302.33,6990
2022-05-06,1288.7,1313.49,1273.37,1305.66,7212
2022-05-09,1299.99,1321.03,1277.54,1299.84,22554
2022-05-10,1294.14,1303.97,1260.44,1276.05,8712
2022-05-11,1269.33,1300.0,1243.53,1250.16,176562
2022-05-12,1240.83,1264.99,1216.67,1230.27,82428
2022-05-13,1235.63,1323.33,1235.63,1292.63,66468
2022-05-16,1306.67,1306.67,1268.68,1281.33,77250
2022-05-17,1269.33,1304.67,1254.33,1266.09,90192
2022-05-18,1254.33,1295.15,1254.33,1280.58,46746
2022-05-19,1283.17,1293.17,1260.19,1283.41,34512
2022-05-20,1283.33,1333.33,1277.95,1330.16,61032
2022-05-23,1348.33,1366.65,1330.0,1337.07,67614
2022-05-24,1341.53,1349.98,1328.89,1348.07,66960
2022-05-25,1358.33,1365.82,1341.01,1354.01,41988
2022-05-26,1365.33,1365.33,1337.5,1348.48,119448
2022-05-27,1348.33,1366.48,1322.97,1340.55,80418
2022-05-30,1327.5,1338.28,1303.37,1323.73,17778
2022-05-31,1300.19,1322.24,1234.17,1267.96,308610
2022-06-01,1254.17,1260.0,1241.67,1250.61,25554
2022-06-02,1241.69,1283.33,1239.88,1278.0,95502
2022-06-03,1291.5,1291.5,1261.33,1270.33,11022
2022-06-06,1272.38,1308.33,1268.5,1306.53,13290
2022-06-07,1306.5,1311.63,1290.47,1306.56,23232
2022-06-08,1310.34,1320.28,1268.32,1285.78,48156
2022-06-09,1299.65,1299.65,1275.26,1282.17,62916
2022-06-10,1261.67,1283.69,1261.67,1280.94,74220
2022-06-13,1281.0,1283.83,1257.17,1258.96,151926
2022-06-14,1254.17,1269.73,1243.03,1250.14,21558
2022-06-15,1252.01,1258.47,1229.29,1246.79,180462
2022-06-16,1242.17,1249.83,1203.72,1214.46,52146
2022-06-17,1217.46,1237.5,1153.33,1192.47,76308
2022-06-20,1230.83,1230.83,1146.08,1190.18,37944
2022-06-21,1169.17,1219.28,1169.17,1205.93,7248
2022-06-22,1205.93,1214.16,1183.33,1191.38,6234
2022-06-23,1198.15,1220.83,1184.17,1214.98,9024
2022-06-24,1214.59,1216.67,1196.39,1199.87,16500
2022-06-27,1206.18,1219.87,1205.0,1216.55,6888
2022-06-28,1209.17,1240.83,1206.76,1223.81,51234
2022-06-29,1241.5,1241.67,1217.03,1239.11,312390
2022-06-30,1249.67,1400.0,1239.63,1286.1,223110
2022-07-01,1291.33,1316.67,1254.22,1288.23,76740
2022-07-04,1297.48,1326.67,1278.55,1315.15,73710
2022-07-05,1297.5,1338.33,1288.77,1332.39,257766
2022-07-06,1332.39,1343.31,1318.37,1325.9,72966
2022-07-07,1337.5,1339.17,1308.35,1319.48,24504
2022-07-08,1324.17,1325.83,1291.67,1298.65,33234
2022-07-11,1283.67,1297.0,1283.33,1286.01,52770
2022-07-12,1286.94,1302.5,1283.33,1294.13,18714
2022-07-13,1285.0,1339.39,1285.0,1327.78,113982
2022-07-14,1323.09,1356.99,1312.19,1345.59,480612
2022-07-15,1364.99,1364.99,1327.37,1338.4,59862
2022-07-18,1353.0,1389.83,1335.08,1382.85,255534
2022-07-19,1371.67,1399.98,1352.1,1364.74,20616
2022-07-20,1380.3,1387.14,1337.67,1354.35,12864
2022-07-21,1374.17,1384.82,1358.39,1382.02,11628
2022-07-22,1374.55,1401.67,1371.59,1389.28,21720
2022-07-25,1408.26,1408.26,1371.5,1389.78,8562
2022-07-26,1391.67,1400.0,1367.01,1397.48,20412
2022-07-27,1399.8,1408.76,1370.51,1399.88,93948
2022-07-28,1409.7,1433.0,1405.66,1414.12,49572
2022-07-29,1428.0,1433.32,1408.0,1422.54,20970
2022-08-01,1422.54,1458.32,1420.86,1453.98,38874
2022-08-02,1461.63,1465.0,1437.45,1448.94,20904
2022-08-03,1448.77,1450.0,1424.01,1449.58,11892
2022-08-04,1446.67,1462.11,1437.9,1455.49,54936
2022-08-05,1458.33,1493.65,1442.18,1486.98,63462
2022-08-08,1531.3,1568.52,1517.56,1557.33,217710
2022-08-10,1581.25,1583.33,1545.83,1555.76,36090
2022-08-11,1575.0,1580.82,1547.49,1576.96,58536
2022-08-12,1585.25,1585.25,1550.5,1559.34,14172
2022-08-16,1570.0,1599.98,1553.34,1578.78,96798
2022-08-17,1583.34,1658.49,1583.33,1643.39,90600
2022-08-18,1649.83,1662.48,1607.02,1611.52,94152
2022-08-19,1611.52,1626.89,1558.33,1586.78,28734
2022-08-22,1583.5,1614.43,1572.53,1597.06,41184
2022-08-23,1582.53,1605.0,1574.68,1587.33,27156
2022-08-24,1594.49,1629.98,1591.79,1608.66,41046
2022-08-25,1611.67,1644.98,1611.67,1631.5,134448
2022-08-26,1650.0,1650.0,1620.83,1628.38,12642
2022-08-29,1608.5,1629.18,1592.84,1613.88,25710
2022-08-30,1625.0,1645.83,1537.67,1602.94,70698
2022-09-01,1596.67,1624.99,1571.67,1577.05,78690
2022-09-02,1582.33,1629.08,1573.33,1608.3,43128
2022-09-05,1608.3,1680.0,1605.78,1665.18,97788
2022-09-06,1684.43,1684.43,1638.0,1645.27,29916
2022-09-07,1645.17,1666.67,1632.19,1665.72,23538
2022-09-08,1674.48,1703.83,1650.18,1669.22,45900
2022-09-09,1670.83,1700.0,1670.83,1695.83,46698
2022-09-12,1685.83,1720.5,1670.0,1681.05,219318
2022-09-13,1689.9,1737.33,1686.0,1732.45,81630
2022-09-14,1731.25,1731.25,1654.67,1663.55,56364
2022-09-15,1671.67,1696.67,1638.74,1664.34,31068
2022-09-16,1673.1,1683.33,1558.59,1583.21,73656
2022-09-19,1575.83,1641.67,1558.67,1607.4,90450
2022-09-20,1615.44,1633.17,1600.0,1616.42,37086
2022-09-21,1614.66,1650.0,1603.47,1643.58,33210
2022-09-22,1643.58,1658.33,1618.34,1635.35,20082
2022-09-23,1642.7,1664.17,1626.84,1653.43,36372
2022-09-26,1661.7,1671.67,1616.83,1663.31,30996
2022-09-27,1671.67,1671.67,1625.0,1657.85,22044
2022-09-28,1652.3,1666.5,1630.0,1650.53,20928
2022-09-29,1650.53,1664.98,1627.0,1659.71,32070
2022-09-30,1658.33,1691.67,1647.62,1657.54,41130
2022-10-03,1657.5,1666.26,1642.35,1649.18,18432
2022-10-04,1649.18,1664.03,1636.67,1643.41,15198
