DATETIME,REGIME_NAME,PCT_ABOVE_EMA200,PCT_ABOVE_EMA50
2020-01-01,CONSOLIDATION,45.32,62.99
2020-01-02,CONSOLIDATION,51.96,74.92
2020-01-03,CONSOLIDATION,51.36,74.77
2020-01-06,CONSOLIDATION,45.02,57.4
2020-01-07,CONSOLIDATION,46.98,62.69
2020-01-08,CONSOLIDATION,47.43,60.73
2020-01-09,CONSOLIDATION,51.66,72.36
2020-01-10,CONSOLIDATION,52.64,75.26
2020-01-13,CONSOLIDATION,56.95,77.64
2020-01-14,CONSOLIDATION,60.03,81.45
2020-01-15,CONSOLIDATION,62.03,84.57
2020-01-16,CONSOLIDATION,63.14,85.35
2020-01-17,CONSOLIDATION,64.56,86.58
2020-01-20,CONSOLIDATION,62.39,81.72
2020-01-21,CONSOLIDATION,62.39,78.7
2020-01-22,CONSOLIDATION,60.88,77.79
2020-01-23,CONSOLIDATION,62.59,78.28
2020-01-24,CONSOLIDATION,63.35,79.94
2020-01-27,CONSOLIDATION,61.11,76.73
2020-01-28,CONSOLIDATION,60.45,73.08
2020-01-29,CONSOLIDATION,61.65,73.08
2020-01-30,CONSOLIDATION,56.93,63.86
2020-01-31,CONSOLIDATION,55.64,61.2
2020-02-01,CONSOLIDATION,47.35,46.52
2020-02-03,CONSOLIDATION,46.08,43.37
2020-02-04,CONSOLIDATION,50.6,51.81
2020-02-05,CONSOLIDATION,54.8,56.46
2020-02-06,CONSOLIDATION,56.33,60.54
2020-02-07,CONSOLIDATION,55.87,59.34
2020-02-10,CONSOLIDATION,54.29,54.74
2020-02-11,CONSOLIDATION,52.93,54.29
2020-02-12,CONSOLIDATION,51.96,50.0
2020-02-13,CONSOLIDATION,50.98,47.51
2020-02-14,CONSOLIDATION,48.57,46.47
2020-02-17,CONSOLIDATION,46.4,44.14
2020-02-18,CONSOLIDATION,46.84,40.96
2020-02-19,CONSOLIDATION,48.27,45.26
2020-02-20,CONSOLIDATION,49.02,46.62
2020-02-24,CONSOLIDATION,46.4,39.94
2020-02-25,CONSOLIDATION,43.99,37.84
2020-02-26,CONSOLIDATION,41.65,35.19
2020-02-27,CONSOLIDATION,40.9,33.99
2020-02-28,BEAR_MARKET,33.93,23.42
2020-03-02,BEAR_MARKET,33.03,20.57
2020-03-03,BEAR_MARKET,36.19,24.17
2020-03-04,BEAR_MARKET,33.78,20.12
2020-03-05,BEAR_MARKET,33.33,21.32
2020-03-06,BEAR_MARKET,30.23,17.89
2020-03-09,BEAR_MARKET,23.87,10.06
2020-03-11,BEAR_MARKET,23.12,10.06
2020-03-12,BEAR_MARKET,13.36,2.4
2020-03-13,BEAR_MARKET,14.89,4.36
2020-03-16,BEAR_MARKET,9.88,2.69
2020-03-17,BEAR_MARKET,9.75,2.4
2020-03-18,BEAR_MARKET,5.39,1.05
2020-03-19,BEAR_MARKET,4.05,1.05
2020-03-20,BEAR_MARKET,6.75,1.5
2020-03-23,BEAR_MARKET,2.55,1.05
2020-03-24,BEAR_MARKET,2.85,1.05
2020-03-25,BEAR_MARKET,3.9,1.2
2020-03-26,BEAR_MARKET,4.8,1.5
2020-03-27,BEAR_MARKET,5.39,1.35
2020-03-30,BEAR_MARKET,5.24,2.1
2020-03-31,BEAR_MARKET,5.99,2.84
2020-04-01,BEAR_MARKET,5.98,2.39
2020-04-03,BEAR_MARKET,6.58,3.29
2020-04-07,BEAR_MARKET,8.52,7.77
2020-04-08,BEAR_MARKET,10.01,10.31
2020-04-09,BEAR_MARKET,11.68,13.62
2020-04-13,BEAR_MARKET,12.13,14.97
2020-04-15,BEAR_MARKET,12.41,16.29
2020-04-16,BEAR_MARKET,13.45,19.88
2020-04-17,BEAR_MARKET,15.84,25.41
2020-04-20,BEAR_MARKET,15.72,30.54
2020-04-21,BEAR_MARKET,14.22,23.2
2020-04-22,BEAR_MARKET,14.82,24.7
2020-04-23,BEAR_MARKET,16.17,27.69
2020-04-24,BEAR_MARKET,15.1,23.02
2020-04-27,BEAR_MARKET,15.87,26.05
2020-04-28,BEAR_MARKET,16.62,28.14
2020-04-29,BEAR_MARKET,17.22,31.44
2020-04-30,BEAR_MARKET,17.81,32.78
2020-05-04,BEAR_MARKET,16.17,23.05
2020-05-05,BEAR_MARKET,14.22,21.56
2020-05-06,BEAR_MARKET,14.37,20.96
2020-05-07,BEAR_MARKET,13.77,22.9
2020-05-08,BEAR_MARKET,13.77,22.6
2020-05-11,BEAR_MARKET,14.84,23.09
2020-05-12,BEAR_MARKET,14.37,22.01
2020-05-13,BEAR_MARKET,15.27,27.54
2020-05-14,BEAR_MARKET,15.4,26.31
2020-05-15,BEAR_MARKET,15.12,25.45
2020-05-18,BEAR_MARKET,13.62,18.56
2020-05-19,BEAR_MARKET,13.94,19.64
2020-05-20,BEAR_MARKET,14.97,22.6
2020-05-21,BEAR_MARKET,16.14,24.81
2020-05-22,BEAR_MARKET,15.82,23.58
2020-05-26,BEAR_MARKET,16.14,26.91
2020-05-27,BEAR_MARKET,16.29,28.85
2020-05-28,CONSOLIDATION,17.64,36.02
2020-05-29,CONSOLIDATION,20.21,40.57
2020-06-01,BEAR_REBOUND,22.87,53.36
2020-06-02,BEAR_REBOUND,25.26,62.33
2020-06-03,BEAR_REBOUND,25.41,69.36
2020-06-04,BEAR_REBOUND,25.41,67.71
2020-06-05,BEAR_REBOUND,28.7,82.36
2020-06-08,BEAR_REBOUND,31.84,86.55
2020-06-09,BEAR_REBOUND,30.79,81.61
